region,sexe,mstat,age_grp,nbr_indv,mean_rev,mean_banked,empl_formel,proprio_titre,proprio_sans,locataire,autre_logement,assurance
AUTONOME D'ABIDJAN,Masculin,Célibataire,0-14,727,0,0,0,.14855571,.024759285,.71526825,.10866575,.16093536
AUTONOME D'ABIDJAN,Féminin,Célibataire,0-14,748,283.88037,0,0,.157754,.036096256,.68181819,.12299465,.14705883
AUTONOME D'ABIDJAN,Masculin,Célibataire,15-24,433,12560.843,.5404157,.0023094688,.24249423,.032332562,.63741338,.087759815,.087759815
AUTONOME D'ABIDJAN,Masculin,Marié(e) monogame,15-24,2,150000,1,0,0,0,1,0,0
AUTONOME D'ABIDJAN,Masculin,Union libre,15-24,1,72817.43,1,0,0,0,0,1,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,15-24,465,7616.7314,.51397848,0,.26451612,.034408603,.59354836,.10752688,.11612903
AUTONOME D'ABIDJAN,Féminin,Marié(e) monogame,15-24,25,4133.3335,.63999999,.039999999,.039999999,0,.95999998,0,.039999999
AUTONOME D'ABIDJAN,Féminin,Marié(e) polygame,15-24,2,0,.5,0,0,0,1,0,0
AUTONOME D'ABIDJAN,Féminin,Union libre,15-24,5,20000,1,0,.2,.2,.40000001,.2,.2
AUTONOME D'ABIDJAN,Masculin,Célibataire,25-34,241,63575.434,.74688798,.024896266,.23651452,.0373444,.61410791,.1120332,.053941909
AUTONOME D'ABIDJAN,Masculin,Marié(e) monogame,25-34,59,101290.38,.93220341,.050847456,.050847456,.016949153,.84745765,.084745765,.20338982
AUTONOME D'ABIDJAN,Masculin,Marié(e) polygame,25-34,1,0,0,0,0,0,1,0,0
AUTONOME D'ABIDJAN,Masculin,Union libre,25-34,20,136761.11,.94999999,.050000001,.2,.1,.64999998,.050000001,.2
AUTONOME D'ABIDJAN,Féminin,Célibataire,25-34,187,52218.625,.7647059,.037433155,.27807486,.01604278,.60427809,.10160428,.05882353
AUTONOME D'ABIDJAN,Féminin,Marié(e) monogame,25-34,152,27265.441,.71052629,.02631579,.10526316,.013157895,.79605263,.085526317,.16447368
AUTONOME D'ABIDJAN,Féminin,Marié(e) polygame,25-34,6,0,.5,0,.33333334,0,.5,.16666667,0
AUTONOME D'ABIDJAN,Féminin,Union libre,25-34,32,41829.402,.90625,.03125,.1875,.03125,.71875,.0625,.09375
AUTONOME D'ABIDJAN,Féminin,Divorcé(e),25-34,2,50083.336,1,0,0,0,.5,.5,0
AUTONOME D'ABIDJAN,Féminin,Séparé,25-34,3,426667,.66666669,0,0,0,1,0,.33333334
AUTONOME D'ABIDJAN,Masculin,Célibataire,35-44,86,76165.32,.88372093,.023255814,.3255814,.023255814,.46511629,.18604651,.034883723
AUTONOME D'ABIDJAN,Masculin,Marié(e) monogame,35-44,160,160415.45,.89375001,.1125,.1,.0062500001,.81875002,.075000003,.24375001
AUTONOME D'ABIDJAN,Masculin,Marié(e) polygame,35-44,1,0,1,0,0,0,1,0,0
AUTONOME D'ABIDJAN,Masculin,Union libre,35-44,31,106585.65,.83870965,.032258064,.064516127,.032258064,.83870965,.064516127,.22580644
AUTONOME D'ABIDJAN,Masculin,Séparé,35-44,3,69502.023,1,0,0,.33333334,.66666669,0,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,35-44,78,58280.832,.78205127,.025641026,.25641027,.025641026,.61538464,.1025641,.1025641
AUTONOME D'ABIDJAN,Féminin,Marié(e) monogame,35-44,189,43475.844,.74603176,.052910052,.095238097,.021164021,.75132275,.12698413,.24867725
AUTONOME D'ABIDJAN,Féminin,Marié(e) polygame,35-44,13,5769.231,.76923078,0,.15384616,0,.61538464,.23076923,.15384616
AUTONOME D'ABIDJAN,Féminin,Union libre,35-44,30,19291.172,.56666666,0,.033333335,.033333335,.86666667,.06666667,.13333334
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),35-44,2,0,1,0,0,.5,0,.5,0
AUTONOME D'ABIDJAN,Féminin,Divorcé(e),35-44,1,0,0,0,0,0,1,0,0
AUTONOME D'ABIDJAN,Féminin,Séparé,35-44,5,65000,1,0,0,0,.80000001,.2,.2
AUTONOME D'ABIDJAN,Masculin,Célibataire,45-54,26,78760.891,.80769229,.03846154,.30769232,.03846154,.5,.15384616,.15384616
AUTONOME D'ABIDJAN,Masculin,Marié(e) monogame,45-54,157,131618.59,.91082805,.11464968,.095541403,.025477707,.76433122,.10828026,.28025478
AUTONOME D'ABIDJAN,Masculin,Marié(e) polygame,45-54,11,80322.938,.90909094,.090909094,.090909094,.090909094,.72727275,.090909094,.27272728
