,cluster,variable,type,moyenne,médiane,écart_type,min,max,modalité,modalité_pct
0,0,age_num,numérique,8.891975308641975,8.0,6.0090795944257405,0.0,34.0,,
1,0,sex,catégorielle,,,,,,Féminin,100.0
2,0,marital_status,catégorielle,,,,,,Célibataire,99.69135802469135
3,0,city,catégorielle,,,,,,BOCANDA,30.864197530864196
4,0,milieu_resid,catégorielle,,,,,,Rural,76.5432098765432
5,0,region_name,catégorielle,,,,,,N'ZI,100.0
6,0,bancarise,catégorielle,,,,,,0,100.0
7,1,age_num,numérique,10.731501057082452,9.0,7.770504622163716,0.0,41.0,,
8,1,sex,catégorielle,,,,,,Masculin,100.0
9,1,marital_status,catégorielle,,,,,,Célibataire,99.89429175475686
10,1,city,catégorielle,,,,,,ABIDJAN,96.82875264270614
11,1,milieu_resid,catégorielle,,,,,,Urbain,100.0
12,1,region_name,catégorielle,,,,,,AUTONOME D'ABIDJAN,100.0
13,1,bancarise,catégorielle,,,,,,0,100.0
14,2,age_num,numérique,37.427374301675975,36.5,8.873150848010567,16.0,63.0,,
15,2,sex,catégorielle,,,,,,Masculin,100.0
16,2,marital_status,catégorielle,,,,,,Union libre,91.06145251396647
17,2,city,catégorielle,,,,,,YAMOUSSOUKRO,3.6312849162011176
18,2,milieu_resid,catégorielle,,,,,,Rural,100.0
19,2,region_name,catégorielle,,,,,,NAWA,9.497206703910614
20,2,bancarise,catégorielle,,,,,,1,100.0
21,3,age_num,numérique,36.24116424116424,36.0,9.397452765359716,15.0,58.0,,
22,3,sex,catégorielle,,,,,,Féminin,100.0
23,3,marital_status,catégorielle,,,,,,Marié(e),97.2972972972973
24,3,city,catégorielle,,,,,,BOUAKE,8.87040887040887
25,3,milieu_resid,catégorielle,,,,,,Urbain,100.0
26,3,region_name,catégorielle,,,,,,GBEKE,9.00900900900901
27,3,bancarise,catégorielle,,,,,,1,100.0
28,4,age_num,numérique,8.982078853046595,9.0,5.85216875321124,0.0,36.0,,
