cluster,age_num,sex,marital_status,city,bancarise
1,29,Féminin,Célibataire,ABIDJAN,1
0,17,Féminin,Célibataire,ABIDJAN,0
0,15,Masculin,Célibataire,ABIDJAN,0
0,12,Féminin,Célibataire,ABIDJAN,0
1,34,Féminin,Marié(e),ABIDJAN,0
1,50,Masculin,Marié(e),ABIDJAN,1
0,3,Masculin,Célibataire,ABIDJAN,0
0,1,Féminin,Célibataire,ABIDJAN,0
1,56,Masculin,Marié(e),ABIDJAN,1
1,38,Féminin,Marié(e),ABIDJAN,0
1,38,Masculin,Célibataire,ABIDJAN,1
1,55,Masculin,Célibataire,ABIDJAN,1
0,14,Féminin,Célibataire,ABIDJAN,0
1,39,Féminin,Marié(e),ABIDJAN,1
1,43,Masculin,Marié(e),ABIDJAN,1
0,9,Masculin,Célibataire,ABIDJAN,0
0,12,Masculin,Célibataire,ABIDJAN,0
1,42,Masculin,Célibataire,ABIDJAN,1
0,2,Féminin,Célibataire,ABIDJAN,0
1,37,Féminin,Marié(e),ABIDJAN,0
1,54,Masculin,Marié(e),ABIDJAN,1
0,12,Masculin,Célibataire,ABIDJAN,0
0,7,Féminin,Célibataire,ABIDJAN,0
1,37,Masculin,Célibataire,ABIDJAN,1
0,9,Féminin,Célibataire,ABIDJAN,0
0,18,Féminin,Célibataire,ABIDJAN,1
1,45,Féminin,Marié(e),ABIDJAN,1
0,13,Féminin,Célibataire,ABIDJAN,0
1,63,Masculin,Marié(e),ABIDJAN,1
1,30,Masculin,Célibataire,ABIDJAN,1
1,45,Masculin,Marié(e),ABIDJAN,1
1,29,Féminin,Marié(e),ABIDJAN,1
0,9,Masculin,Célibataire,ABIDJAN,0
0,16,Féminin,Célibataire,ABIDJAN,1
0,22,Masculin,Célibataire,ABIDJAN,1
0,13,Féminin,Célibataire,ABIDJAN,0
0,21,Féminin,Célibataire,ABIDJAN,1
0,3,Féminin,Célibataire,ABIDJAN,0
1,50,Féminin,Union libre,ABIDJAN,1
0,9,Masculin,Célibataire,ABIDJAN,0
1,47,Masculin,Union libre,ABIDJAN,1
0,1,Féminin,Célibataire,ABIDJAN,0
0,25,Féminin,Célibataire,ABIDJAN,1
0,14,Masculin,Célibataire,ABIDJAN,0
1,42,Masculin,Marié(e),ABIDJAN,1
0,25,Masculin,Célibataire,ABIDJAN,1
1,37,Féminin,Marié(e),ABIDJAN,1
0,9,Féminin,Célibataire,ABIDJAN,0
1,46,Féminin,Marié(e),ABIDJAN,1
1,54,Masculin,Marié(e),ABIDJAN,1
1,30,Féminin,Célibataire,ABIDJAN,1
0,13,Masculin,Célibataire,ABIDJAN,0
0,24,Masculin,Célibataire,ABIDJAN,1
0,25,Féminin,Célibataire,ABIDJAN,1
0,10,Masculin,Célibataire,ABIDJAN,0
0,11,Féminin,Célibataire,ABIDJAN,0
0,26,Féminin,Célibataire,ABIDJAN,1
0,29,Masculin,Célibataire,ABIDJAN,0
1,47,Féminin,Marié(e),ABIDJAN,1
0,14,Masculin,Célibataire,ABIDJAN,0
1,55,Masculin,Marié(e),ABIDJAN,1
0,20,Féminin,Célibataire,ABIDJAN,1
1,28,Féminin,Célibataire,ABIDJAN,1
0,16,Masculin,Célibataire,ABIDJAN,0
1,29,Masculin,Célibataire,ABIDJAN,1
0,22,Masculin,Célibataire,ABIDJAN,1
1,32,Masculin,Marié(e),ABIDJAN,1
0,16,Féminin,Célibataire,ABIDJAN,0
0,2,Féminin,Célibataire,ABIDJAN,0
0,5,Féminin,Célibataire,ABIDJAN,0
0,19,Féminin,Célibataire,ABIDJAN,0
1,30,Féminin,Marié(e),ABIDJAN,1
0,20,Féminin,Célibataire,ABIDJAN,1
0,3,Féminin,Célibataire,ABIDJAN,0
1,51,Masculin,Marié(e),ABIDJAN,1
0,7,Féminin,Célibataire,ABIDJAN,0
1,46,Féminin,Marié(e),ABIDJAN,1
0,15,Masculin,Célibataire,ABIDJAN,1
1,28,Féminin,Célibataire,ABIDJAN,1
0,15,Masculin,Célibataire,ABIDJAN,0
0,1,Féminin,Célibataire,ABIDJAN,0
0,5,Masculin,Célibataire,ABIDJAN,0
0,20,Féminin,Célibataire,ABIDJAN,1
1,52,Masculin,Marié(e),ABIDJAN,1
0,15,Féminin,Célibataire,ABIDJAN,0
1,48,Féminin,Marié(e),ABIDJAN,1
0,10,Féminin,Célibataire,ABIDJAN,0
0,23,Féminin,Célibataire,ABIDJAN,1
0,6,Féminin,Célibataire,ABIDJAN,0
0,0,Féminin,Célibataire,ABIDJAN,0
1,34,Féminin,Marié(e),ABIDJAN,1
0,18,Masculin,Célibataire,ABIDJAN,1
0,21,Féminin,Célibataire,ABIDJAN,1
0,21,Féminin,Célibataire,ABIDJAN,1
0,4,Féminin,Célibataire,ABIDJAN,0
0,23,Féminin,Célibataire,ABIDJAN,1
1,52,Féminin,Veuf(ve),ABIDJAN,1
0,28,Masculin,Célibataire,ABIDJAN,1
0,23,Masculin,Célibataire,ABIDJAN,1
1,38,Féminin,Marié(e),ABIDJAN,1
0,11,Féminin,Célibataire,ABIDJAN,0
1,24,Masculin,Union libre,ABIDJAN,1
1,23,Féminin,Union libre,ABIDJAN,1
0,1,Féminin,Célibataire,ABIDJAN,0
1,36,Féminin,Marié(e),ABIDJAN,1
0,17,Féminin,Célibataire,ABIDJAN,1
1,41,Masculin,Marié(e),ABIDJAN,1
0,4,Masculin,Célibataire,ABIDJAN,0
1,34,Masculin,Célibataire,ABIDJAN,1
1,51,Masculin,Célibataire,ABIDJAN,1
1,46,Masculin,Célibataire,ABIDJAN,0
1,75,Féminin,Divorcé(e),ABIDJAN,1
1,30,Masculin,Célibataire,ABIDJAN,1
0,22,Masculin,Célibataire,ABIDJAN,1
1,45,Masculin,Marié(e),ABIDJAN,1
0,3,Féminin,Célibataire,ABIDJAN,0
0,6,Masculin,Célibataire,ABIDJAN,0
0,17,Féminin,Célibataire,ABIDJAN,1
1,37,Féminin,Marié(e),ABIDJAN,1
0,25,Féminin,Célibataire,ABIDJAN,1
1,45,Féminin,Marié(e),ABIDJAN,1
0,9,Féminin,Célibataire,ABIDJAN,0
1,50,Masculin,Marié(e),ABIDJAN,1
0,3,Féminin,Célibataire,ABIDJAN,0
1,82,Masculin,Veuf(ve),ABIDJAN,1
0,24,Féminin,Célibataire,ABIDJAN,1
0,9,Masculin,Célibataire,ABIDJAN,0
1,23,Féminin,Marié(e),ABIDJAN,1
0,5,Féminin,Célibataire,ABIDJAN,0
1,40,Masculin,Marié(e),ABIDJAN,0
1,58,Féminin,Célibataire,ABIDJAN,1
1,57,Féminin,Célibataire,ABIDJAN,1
1,75,Féminin,Veuf(ve),ABIDJAN,1
1,36,Masculin,Célibataire,ABIDJAN,1
0,15,Féminin,Célibataire,ABIDJAN,1
1,30,Masculin,Célibataire,ABIDJAN,1
0,19,Féminin,Célibataire,ABIDJAN,1
0,2,Féminin,Célibataire,ABIDJAN,0
0,1,Masculin,Célibataire,ABIDJAN,0
1,70,Féminin,Divorcé(e),ABIDJAN,0
0,4,Féminin,Célibataire,ABIDJAN,0
1,67,Féminin,Veuf(ve),ABIDJAN,0
1,25,Féminin,Marié(e),ABIDJAN,0
0,6,Masculin,Célibataire,ABIDJAN,0
1,30,Masculin,Marié(e),ABIDJAN,0
0,4,Féminin,Célibataire,ABIDJAN,0
1,75,Féminin,Veuf(ve),ABIDJAN,1
1,31,Féminin,Union libre,ABIDJAN,1
0,9,Féminin,Célibataire,ABIDJAN,0
1,44,Masculin,Union libre,ABIDJAN,1
0,15,Féminin,Célibataire,ABIDJAN,0
0,3,Masculin,Célibataire,ABIDJAN,0
0,22,Féminin,Célibataire,ABIDJAN,0
1,53,Féminin,Veuf(ve),ABIDJAN,1
1,33,Masculin,Célibataire,ABIDJAN,1
0,14,Masculin,Célibataire,ABIDJAN,0
0,27,Masculin,Célibataire,ABIDJAN,1
0,6,Féminin,Célibataire,ABIDJAN,0
1,33,Féminin,Marié(e),ABIDJAN,1
0,3,Féminin,Célibataire,ABIDJAN,0
1,45,Masculin,Marié(e),ABIDJAN,1
0,17,Masculin,Célibataire,ABIDJAN,0
1,47,Masculin,Marié(e),ABIDJAN,1
0,3,Masculin,Célibataire,ABIDJAN,0
1,38,Féminin,Marié(e),ABIDJAN,1
0,17,Féminin,Célibataire,ABIDJAN,0
0,4,Masculin,Célibataire,ABIDJAN,0
0,19,Masculin,Célibataire,ABIDJAN,1
0,21,Masculin,Célibataire,ABIDJAN,1
0,15,Féminin,Célibataire,ABIDJAN,0
1,37,Masculin,Marié(e),ABIDJAN,1
0,3,Féminin,Célibataire,ABIDJAN,0
0,8,Masculin,Célibataire,ABIDJAN,0
1,29,Féminin,Marié(e),ABIDJAN,1
0,11,Masculin,Célibataire,ABIDJAN,0
0,9,Féminin,Célibataire,ABIDJAN,0
1,33,Féminin,Marié(e),ABIDJAN,0
