cluster,age_num,sex,marital_status,city,milieu_resid,region_name,bancarise
1,29,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,34,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,50,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,56,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,38,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,38,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,55,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,39,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,43,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,42,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,37,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,54,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,37,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,18,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,45,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,63,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,30,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,45,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,29,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,22,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,21,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,50,Féminin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,47,Masculin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,25,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
