mstat,rev_total_mois,age_grp,bancarise,a_assurance,logem,Stg_formel
Célibataire,279244.0,25-34,1,0,Locataire,1
Célibataire,0.0,0-17,0,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Marié(e),0.0,25-34,0,0,Locataire,0
Marié(e),0.0,45-54,1,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Marié(e),0.0,55-64,1,0,Locataire,0
Marié(e),0.0,35-44,0,0,Locataire,0
Célibataire,80000.0,35-44,1,0,Autre,0
Célibataire,0.0,55-64,1,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Marié(e),30000.0,35-44,1,0,Locataire,0
Marié(e),0.0,35-44,1,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Célibataire,0.0,35-44,1,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Marié(e),0.0,35-44,0,0,Locataire,0
Marié(e),0.0,45-54,1,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Célibataire,0.0,35-44,1,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Célibataire,0.0,18-24,1,0,Locataire,0
Marié(e),0.0,45-54,1,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Marié(e),0.0,55-64,1,0,Locataire,0
Célibataire,0.0,25-34,1,0,Locataire,0
Marié(e),0.0,45-54,1,0,Locataire,0
Marié(e),0.0,25-34,1,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Célibataire,0.0,0-17,1,0,Locataire,0
Célibataire,0.0,18-24,1,0,Locataire,0
Célibataire,0.0,0-17,0,1,Locataire,0
Célibataire,0.0,18-24,1,1,Locataire,0
Célibataire,0.0,0-17,0,1,Locataire,0
Union libre,0.0,45-54,1,0,Locataire,0
Célibataire,0.0,0-17,0,1,Locataire,0
Union libre,387905.0,45-54,1,1,Locataire,1
Célibataire,0.0,0-17,0,1,Locataire,0
Célibataire,0.0,25-34,1,0,Locataire,0
Célibataire,0.0,0-17,0,1,Locataire,0
Marié(e),380000.0,35-44,1,1,Locataire,1
Célibataire,0.0,25-34,1,0,Locataire,0
Marié(e),200000.0,35-44,1,1,Locataire,1
Célibataire,0.0,0-17,0,1,Locataire,0
Marié(e),0.0,45-54,1,1,Locataire,0
Marié(e),316733.34,45-54,1,1,Locataire,1
Célibataire,0.0,25-34,1,0,Locataire,0
Célibataire,0.0,0-17,0,1,Locataire,0
Célibataire,0.0,18-24,1,0,Locataire,0
Célibataire,0.0,25-34,1,0,Locataire,0
Célibataire,0.0,0-17,0,1,Locataire,0
Célibataire,0.0,0-17,0,0,Autre,0
Célibataire,0.0,25-34,1,0,Autre,0
Célibataire,0.0,25-34,0,0,Autre,0
Marié(e),367905.0,45-54,1,1,Autre,1
Célibataire,0.0,0-17,0,0,Autre,0
Marié(e),448000.0,55-64,1,1,Autre,1
Célibataire,0.0,18-24,1,1,Autre,0
Célibataire,0.0,25-34,1,0,Autre,0
Célibataire,0.0,0-17,0,0,Autre,0
Célibataire,0.0,25-34,1,0,Autre,0
Célibataire,60000.0,18-24,1,0,Autre,1
Marié(e),340000.0,25-34,1,1,Autre,1
Célibataire,0.0,0-17,0,0,Autre,0
Célibataire,0.0,0-17,0,1,Autre,0
Célibataire,0.0,0-17,0,1,Autre,0
Célibataire,0.0,18-24,0,0,Autre,0
Marié(e),340000.0,25-34,1,1,Autre,1
Célibataire,0.0,18-24,1,0,Autre,0
Célibataire,0.0,0-17,0,1,Autre,0
Marié(e),280000.0,45-54,1,1,Autre,1
Célibataire,0.0,0-17,0,1,Autre,0
Marié(e),0.0,45-54,1,1,Autre,0
Célibataire,0.0,0-17,1,1,Autre,0
Célibataire,0.0,25-34,1,0,Autre,0
Célibataire,0.0,0-17,0,0,Autre,0
Célibataire,0.0,0-17,0,1,Autre,0
Célibataire,0.0,0-17,0,1,Autre,0
Célibataire,0.0,18-24,1,0,Autre,0
Marié(e),308000.0,45-54,1,1,Autre,1
Célibataire,0.0,0-17,0,1,Autre,0
Marié(e),142248.02,45-54,1,1,Autre,1
Célibataire,0.0,0-17,0,1,Autre,0
Célibataire,0.0,18-24,1,0,Autre,0
Célibataire,0.0,0-17,0,0,Autre,0
Célibataire,0.0,0-17,0,1,Autre,0
Marié(e),230000.0,25-34,1,1,Autre,1
Célibataire,0.0,18-24,1,0,Autre,0
Célibataire,0.0,18-24,1,0,Autre,0
Célibataire,0.0,18-24,1,0,Autre,0
Célibataire,0.0,0-17,0,0,Autre,0
Célibataire,0.0,18-24,1,0,Autre,1
Veuf(ve),139666.67,45-54,1,1,Autre,1
Célibataire,459666.66,25-34,1,0,Autre,1
Célibataire,0.0,18-24,1,0,Autre,1
Marié(e),180700.0,35-44,1,1,Autre,1
Célibataire,0.0,0-17,0,1,Autre,0
Union libre,72817.43,18-24,1,0,Autre,1
Union libre,0.0,18-24,1,0,Autre,1
Célibataire,0.0,0-17,0,1,Locataire,0
Marié(e),230000.0,35-44,1,1,Locataire,1
Célibataire,0.0,0-17,1,0,Locataire,0
Marié(e),368864.41,35-44,1,1,Locataire,1
Célibataire,0.0,0-17,0,1,Locataire,0
Célibataire,0.0,25-34,1,0,Autre,0
Célibataire,0.0,45-54,1,0,Proprietaire titre,0
Célibataire,0.0,45-54,0,0,Proprietaire titre,0
Divorcé(e),0.0,65+,1,1,Proprietaire titre,0
Célibataire,95612.523,25-34,1,0,Proprietaire titre,0
Célibataire,0.0,18-24,1,0,Locataire,0
Marié(e),140426.36,45-54,1,0,Locataire,1
Célibataire,0.0,0-17,0,1,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Célibataire,0.0,0-17,1,0,Locataire,0
Marié(e),0.0,35-44,1,1,Locataire,0
Célibataire,14333.333,25-34,1,0,Autre,0
Marié(e),132942.48,45-54,1,1,Autre,1
Célibataire,0.0,0-17,0,1,Autre,0
Marié(e),30000.0,45-54,1,1,Autre,1
Célibataire,0.0,0-17,0,1,Autre,0
Veuf(ve),0.0,65+,1,0,Proprietaire titre,0
Célibataire,0.0,18-24,1,1,Proprietaire titre,1
Célibataire,0.0,0-17,0,0,Locataire,0
Marié(e),0.0,18-24,1,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Marié(e),250000.0,35-44,0,0,Locataire,0
Célibataire,0.0,55-64,1,0,Proprietaire titre,0
Célibataire,0.0,55-64,1,0,Proprietaire titre,0
Veuf(ve),0.0,65+,1,0,Proprietaire titre,0
Célibataire,0.0,35-44,1,0,Proprietaire titre,0
Célibataire,0.0,0-17,1,0,Proprietaire titre,0
Célibataire,89115.313,25-34,1,0,Proprietaire titre,0
Célibataire,0.0,18-24,1,0,Proprietaire titre,0
Célibataire,0.0,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0-17,0,0,Proprietaire titre,0
Divorcé(e),0.0,65+,0,0,Autre,0
Célibataire,0.0,0-17,0,1,Locataire,0
Veuf(ve),0.0,65+,0,1,Locataire,0
Marié(e),0.0,25-34,0,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Marié(e),0.0,25-34,0,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Veuf(ve),0.0,65+,1,0,Proprietaire titre,0
Union libre,64000.0,25-34,1,0,Proprietaire titre,0
Célibataire,0.0,0-17,0,0,Proprietaire titre,0
Union libre,114108.78,35-44,1,0,Proprietaire titre,0
Célibataire,0.0,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0-17,0,0,Proprietaire titre,0
Célibataire,60000.0,18-24,0,0,Autre,0
Veuf(ve),0.0,45-54,1,0,Autre,0
Célibataire,0.0,25-34,1,0,Autre,0
Célibataire,0.0,0-17,0,0,Autre,0
Célibataire,100000.0,25-34,1,0,Autre,0
Célibataire,0.0,0-17,0,0,Locataire,0
Marié(e),0.0,25-34,1,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Marié(e),0.0,45-54,1,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Marié(e),65000.0,45-54,1,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Marié(e),0.0,35-44,1,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Célibataire,0.0,18-24,1,0,Locataire,0
Célibataire,75000.0,18-24,1,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Marié(e),0.0,35-44,1,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Marié(e),0.0,25-34,1,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Marié(e),0.0,25-34,0,0,Locataire,0
Célibataire,0.0,0-17,0,0,Locataire,0
Marié(e),70000.0,35-44,1,0,Locataire,0
