mstat,rev_total_mois,age_grp,empl_formel,bancarise,a_assurance,logem,Profil_Score
0,279244.0,2,1,1,0,1,52
0,0.0,0,0,0,0,1,30
0,0.0,0,0,0,0,1,30
0,0.0,0,0,0,0,1,30
2,0.0,2,0,0,0,1,49
2,0.0,4,0,1,0,1,59
0,0.0,0,0,0,0,1,30
0,0.0,0,0,0,0,1,30
2,0.0,5,0,1,0,1,56
2,0.0,3,0,0,0,1,52
0,80000.0,3,0,1,0,0,42
0,0.0,5,0,1,0,1,44
0,0.0,0,0,0,0,1,30
2,30000.0,3,0,1,0,1,59
2,0.0,3,0,1,0,1,59
0,0.0,0,0,0,0,1,30
0,0.0,0,0,0,0,1,30
0,0.0,3,0,1,0,1,47
0,0.0,0,0,0,0,1,30
2,0.0,3,0,0,0,1,52
2,0.0,4,0,1,0,1,59
0,0.0,0,0,0,0,1,30
0,0.0,0,0,0,0,1,30
0,0.0,3,0,1,0,1,47
0,0.0,0,0,0,0,1,30
0,0.0,1,0,1,0,1,42
2,0.0,4,0,1,0,1,59
0,0.0,0,0,0,0,1,30
2,0.0,5,0,1,0,1,56
0,0.0,2,0,1,0,1,44
2,0.0,4,0,1,0,1,59
2,0.0,2,0,1,0,1,56
0,0.0,0,0,0,0,1,30
0,0.0,0,0,1,0,1,37
0,0.0,1,0,1,0,1,42
0,0.0,0,0,0,1,1,33
0,0.0,1,0,1,1,1,45
0,0.0,0,0,0,1,1,33
4,0.0,4,0,1,0,1,59
0,0.0,0,0,0,1,1,33
4,387905.0,4,1,1,1,1,75
0,0.0,0,0,0,1,1,33
0,0.0,2,0,1,0,1,44
0,0.0,0,0,0,1,1,33
2,380000.0,3,1,1,1,1,75
0,0.0,2,0,1,0,1,44
2,200000.0,3,1,1,1,1,70
0,0.0,0,0,0,1,1,33
2,0.0,4,0,1,1,1,62
2,316733.34,4,1,1,1,1,75
0,0.0,2,0,1,0,1,44
0,0.0,0,0,0,1,1,33
0,0.0,1,0,1,0,1,42
0,0.0,2,0,1,0,1,44
0,0.0,0,0,0,1,1,33
0,0.0,0,0,0,0,0,20
0,0.0,2,0,1,0,0,34
0,0.0,2,0,0,0,0,27
2,367905.0,4,1,1,1,0,65
0,0.0,0,0,0,0,0,20
2,448000.0,5,1,1,1,0,62
0,0.0,1,0,1,1,0,35
0,0.0,2,0,1,0,0,34
0,0.0,0,0,0,0,0,20
0,0.0,2,0,1,0,0,34
0,60000.0,1,0,1,0,0,37
2,340000.0,2,1,1,1,0,62
0,0.0,0,0,0,0,0,20
0,0.0,0,0,0,1,0,23
0,0.0,0,0,0,1,0,23
0,0.0,1,0,0,0,0,25
2,340000.0,2,1,1,1,0,62
0,0.0,1,0,1,0,0,32
0,0.0,0,0,0,1,0,23
2,280000.0,4,1,1,1,0,60
0,0.0,0,0,0,1,0,23
2,0.0,4,0,1,1,0,52
0,0.0,0,0,1,1,0,30
0,0.0,2,0,1,0,0,34
0,0.0,0,0,0,0,0,20
0,0.0,0,0,0,1,0,23
0,0.0,0,0,0,1,0,23
0,0.0,1,0,1,0,0,32
2,308000.0,4,1,1,1,0,65
0,0.0,0,0,0,1,0,23
2,142248.02,4,1,1,1,0,60
0,0.0,0,0,0,1,0,23
0,0.0,1,0,1,0,0,32
0,0.0,0,0,0,0,0,20
0,0.0,0,0,0,1,0,23
2,230000.0,2,1,1,1,0,57
0,0.0,1,0,1,0,0,32
0,0.0,1,0,1,0,0,32
0,0.0,1,0,1,0,0,32
0,0.0,0,0,0,0,0,20
0,0.0,1,0,1,0,0,32
5,139666.67,4,1,1,1,0,50
0,459666.66,2,1,1,0,0,47
0,0.0,1,1,1,0,0,35
2,180700.0,3,1,1,1,0,60
0,0.0,0,0,0,1,0,23
4,72817.43,1,0,1,0,0,49
4,0.0,1,0,1,0,0,44
0,0.0,0,0,0,1,1,33
2,230000.0,3,1,1,1,1,70
0,0.0,0,0,1,0,1,37
2,368864.41,3,1,1,1,1,75
0,0.0,0,0,0,1,1,33
0,0.0,2,0,1,0,0,34
0,0.0,4,0,1,0,3,57
0,0.0,4,0,0,0,3,50
1,0.0,6,0,1,1,3,55
0,95612.523,2,0,1,0,3,59
0,0.0,1,0,1,0,1,42
2,140426.36,4,0,1,0,1,64
0,0.0,0,0,0,1,1,33
0,0.0,0,0,0,0,1,30
0,0.0,0,0,1,0,1,37
2,0.0,3,0,1,1,1,62
0,14333.333,2,0,1,0,0,34
2,132942.48,4,0,1,1,0,57
0,0.0,0,0,0,1,0,23
2,30000.0,4,0,1,1,0,52
0,0.0,0,0,0,1,0,23
5,0.0,6,0,1,0,3,54
0,0.0,1,0,1,1,3,55
0,0.0,0,0,0,0,1,30
2,0.0,1,0,1,0,1,54
0,0.0,0,0,0,0,1,30
2,250000.0,3,0,0,0,1,57
0,0.0,5,0,1,0,3,54
0,0.0,5,0,1,0,3,54
5,0.0,6,0,1,0,3,54
0,0.0,3,0,1,0,3,57
0,0.0,0,0,1,0,3,47
0,89115.313,2,0,1,0,3,59
0,0.0,1,0,1,0,3,52
0,0.0,0,0,0,0,3,40
0,0.0,0,0,0,0,3,40
1,0.0,6,0,0,0,0,25
0,0.0,0,0,0,1,1,33
