region,sexe,mstat,age_grp,nbr_indv,mean_rev,mean_banked,empl_formel,proprio_titre,proprio_sans,locataire,autre_logement,assurance,categorie_revenus,niveau_bancaire,statut_logement,niveau_emploi,niveau_assurance,score_bancaire_optimise,categorie_risque_bancaire,recommandation_credit
AGNEBY-TIASSA,Féminin,Célibataire,0-14,397.0,93.742233,0.0,0.0,0.29471034,0.31989923,0.15869017,0.22670025,0.035264485,Revenus_faibles,Non_bancarise,Proprietaire_sans_titre,Informel,Faiblement_assure,16,Risque_Tres_Eleve,REFUS_Recommande
AGNEBY-TIASSA,Féminin,Célibataire,15-24,108.0,1132.7161,0.32407406,0.0,0.4074074,0.23148148,0.23148148,0.12962963,0.027777778,Revenus_faibles,Partiellement_bancarise,Proprietaire_titre,Informel,Faiblement_assure,33,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Féminin,Célibataire,25-34,32.0,9479.166,0.5625,0.0,0.375,0.3125,0.1875,0.125,0.0,Revenus_faibles,Bancarise,Proprietaire_titre,Informel,Non_assure,47,Risque_Moyen,ETUDE_Approfondie
AGNEBY-TIASSA,Féminin,Célibataire,35-44,18.0,20277.777,0.77777779,0.055555556,0.22222222,0.33333334,0.33333334,0.11111111,0.055555556,Revenus_moyens,Bancarise,Proprietaire_sans_titre,Mixte,Faiblement_assure,66,Risque_Faible,ACCORD_Conditionnel
AGNEBY-TIASSA,Féminin,Célibataire,45-54,8.0,7500.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,Revenus_faibles,Partiellement_bancarise,Proprietaire_titre,Informel,Non_assure,34,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Féminin,Célibataire,55-64,7.0,4285.7144,0.71428573,0.0,0.0,0.42857143,0.42857143,0.14285715,0.0,Revenus_faibles,Bancarise,Proprietaire_sans_titre,Informel,Non_assure,43,Risque_Moyen,ETUDE_Approfondie
AGNEBY-TIASSA,Féminin,Célibataire,65+,8.0,0.0,0.375,0.0,0.375,0.25,0.125,0.25,0.0,Sans_revenus,Partiellement_bancarise,Proprietaire_titre,Informel,Non_assure,19,Risque_Tres_Eleve,REFUS_Recommande
AGNEBY-TIASSA,Féminin,Divorcé(e),35-44,2.0,86666.664,1.0,0.0,0.0,0.0,0.5,0.5,0.0,Revenus_eleves,Bancarise,Locataire,Informel,Non_assure,72,Risque_Faible,ACCORD_Recommande
AGNEBY-TIASSA,Féminin,Divorcé(e),55-64,5.0,0.0,0.40000001,0.0,0.0,0.40000001,0.2,0.40000001,0.0,Sans_revenus,Partiellement_bancarise,Proprietaire_sans_titre,Informel,Non_assure,20,Risque_Eleve,REFUS_Recommande
AGNEBY-TIASSA,Féminin,Divorcé(e),65+,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Sans_revenus,Non_bancarise,Locataire,Informel,Non_assure,2,Risque_Tres_Eleve,REFUS_Recommande
