region,sexe,mstat,branch,sectins,csp,rev_total_mois,age_grp,age_num,empl_formel,bancarise,a_assurance,logem
AUTONOME D'ABIDJAN,Féminin,Célibataire,Aut. services,Entreprise publique/ parapublique,Cadre moyen/agent de maîtrise,279244.0,25-34,29,1,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,17,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,15,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,12,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Marié(e),Non_connu,Non_connu,Non_connu,0.0,25-34,34,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Marié(e),Education/Sante,Entreprise Privée,Travailleur pour compte propre,0.0,45-54,50,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,3,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,1,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Marié(e),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,55-64,56,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Marié(e),Non_connu,Non_connu,Non_connu,0.0,35-44,38,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Commerce,Entreprise Privée,Stagiaire ou Apprenti rénuméré,80000.0,35-44,38,0,1,0,Autre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,55-64,55,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,14,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Marié(e),Autr. indust.,Entreprise Privée,Ouvrier ou employé non qualifié,30000.0,35-44,39,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Marié(e),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,35-44,43,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,9,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,12,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,35-44,42,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,2,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Marié(e),Non_connu,Non_connu,Non_connu,0.0,35-44,37,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Marié(e),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,45-54,54,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,12,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,7,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,35-44,37,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,9,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,18-24,18,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Marié(e),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,45-54,45,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,13,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Entreprise Privée,Travailleur pour compte propre,0.0,55-64,63,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,25-34,30,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Marié(e),Autr. indust.,Entreprise Privée,Travailleur pour compte propre,0.0,45-54,45,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Marié(e),Non_connu,Non_connu,Non_connu,0.0,25-34,29,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,9,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0-17,16,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,18-24,22,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,13,0,0,1,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,18-24,21,0,1,1,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,3,0,0,1,Locataire
AUTONOME D'ABIDJAN,Féminin,Union libre,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,45-54,50,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,9,0,0,1,Locataire
AUTONOME D'ABIDJAN,Masculin,Union libre,Aut. services,Etat/Collectivités locales,Cadre moyen/agent de maîtrise,387905.0,45-54,47,1,1,1,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,1,0,0,1,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,25-34,25,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,14,0,0,1,Locataire
AUTONOME D'ABIDJAN,Masculin,Marié(e),Education/Sante,Entreprise publique/ parapublique,Cadre moyen/agent de maîtrise,380000.0,35-44,42,1,1,1,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,25-34,25,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Marié(e),Education/Sante,Entreprise publique/ parapublique,Cadre moyen/agent de maîtrise,200000.0,35-44,37,1,1,1,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,9,0,0,1,Locataire
AUTONOME D'ABIDJAN,Féminin,Marié(e),Aut. services,Entreprise Privée,Travailleur pour compte propre,0.0,45-54,46,0,1,1,Locataire
