mstat,rev_total_mois,age_grp,empl_formel,bancarise,a_assurance,logem
Célibataire,279244.0,25-34,1,1,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Marié(e),0.0,25-34,0,0,0,Locataire
Marié(e),0.0,45-54,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Marié(e),0.0,55-64,0,1,0,Locataire
Marié(e),0.0,35-44,0,0,0,Locataire
Célibataire,80000.0,35-44,0,1,0,Autre
Célibataire,0.0,55-64,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Marié(e),30000.0,35-44,0,1,0,Locataire
Marié(e),0.0,35-44,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Célibataire,0.0,35-44,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Marié(e),0.0,35-44,0,0,0,Locataire
Marié(e),0.0,45-54,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Célibataire,0.0,35-44,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Célibataire,0.0,18-24,0,1,0,Locataire
Marié(e),0.0,45-54,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Marié(e),0.0,55-64,0,1,0,Locataire
Célibataire,0.0,25-34,0,1,0,Locataire
Marié(e),0.0,45-54,0,1,0,Locataire
Marié(e),0.0,25-34,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Célibataire,0.0,0-17,0,1,0,Locataire
Célibataire,0.0,18-24,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,1,Locataire
Célibataire,0.0,18-24,0,1,1,Locataire
Célibataire,0.0,0-17,0,0,1,Locataire
Union libre,0.0,45-54,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,1,Locataire
Union libre,387905.0,45-54,1,1,1,Locataire
Célibataire,0.0,0-17,0,0,1,Locataire
Célibataire,0.0,25-34,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,1,Locataire
Marié(e),380000.0,35-44,1,1,1,Locataire
Célibataire,0.0,25-34,0,1,0,Locataire
Marié(e),200000.0,35-44,1,1,1,Locataire
Célibataire,0.0,0-17,0,0,1,Locataire
Marié(e),0.0,45-54,0,1,1,Locataire
Marié(e),316733.34,45-54,1,1,1,Locataire
Célibataire,0.0,25-34,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,1,Locataire
Célibataire,0.0,18-24,0,1,0,Locataire
Célibataire,0.0,25-34,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,1,Locataire
Célibataire,0.0,0-17,0,0,0,Autre
Célibataire,0.0,25-34,0,1,0,Autre
Célibataire,0.0,25-34,0,0,0,Autre
Marié(e),367905.0,45-54,1,1,1,Autre
Célibataire,0.0,0-17,0,0,0,Autre
Marié(e),448000.0,55-64,1,1,1,Autre
Célibataire,0.0,18-24,0,1,1,Autre
Célibataire,0.0,25-34,0,1,0,Autre
Célibataire,0.0,0-17,0,0,0,Autre
Célibataire,0.0,25-34,0,1,0,Autre
Célibataire,60000.0,18-24,0,1,0,Autre
Marié(e),340000.0,25-34,1,1,1,Autre
Célibataire,0.0,0-17,0,0,0,Autre
Célibataire,0.0,0-17,0,0,1,Autre
Célibataire,0.0,0-17,0,0,1,Autre
Célibataire,0.0,18-24,0,0,0,Autre
Marié(e),340000.0,25-34,1,1,1,Autre
Célibataire,0.0,18-24,0,1,0,Autre
Célibataire,0.0,0-17,0,0,1,Autre
Marié(e),280000.0,45-54,1,1,1,Autre
Célibataire,0.0,0-17,0,0,1,Autre
Marié(e),0.0,45-54,0,1,1,Autre
Célibataire,0.0,0-17,0,1,1,Autre
Célibataire,0.0,25-34,0,1,0,Autre
Célibataire,0.0,0-17,0,0,0,Autre
Célibataire,0.0,0-17,0,0,1,Autre
Célibataire,0.0,0-17,0,0,1,Autre
Célibataire,0.0,18-24,0,1,0,Autre
Marié(e),308000.0,45-54,1,1,1,Autre
Célibataire,0.0,0-17,0,0,1,Autre
Marié(e),142248.02,45-54,1,1,1,Autre
Célibataire,0.0,0-17,0,0,1,Autre
Célibataire,0.0,18-24,0,1,0,Autre
Célibataire,0.0,0-17,0,0,0,Autre
Célibataire,0.0,0-17,0,0,1,Autre
Marié(e),230000.0,25-34,1,1,1,Autre
Célibataire,0.0,18-24,0,1,0,Autre
Célibataire,0.0,18-24,0,1,0,Autre
Célibataire,0.0,18-24,0,1,0,Autre
Célibataire,0.0,0-17,0,0,0,Autre
Célibataire,0.0,18-24,0,1,0,Autre
Veuf(ve),139666.67,45-54,1,1,1,Autre
Célibataire,459666.66,25-34,1,1,0,Autre
Célibataire,0.0,18-24,1,1,0,Autre
Marié(e),180700.0,35-44,1,1,1,Autre
Célibataire,0.0,0-17,0,0,1,Autre
Union libre,72817.43,18-24,0,1,0,Autre
Union libre,0.0,18-24,0,1,0,Autre
Célibataire,0.0,0-17,0,0,1,Locataire
Marié(e),230000.0,35-44,1,1,1,Locataire
Célibataire,0.0,0-17,0,1,0,Locataire
Marié(e),368864.41,35-44,1,1,1,Locataire
Célibataire,0.0,0-17,0,0,1,Locataire
Célibataire,0.0,25-34,0,1,0,Autre
Célibataire,0.0,45-54,0,1,0,Proprietaire titre
Célibataire,0.0,45-54,0,0,0,Proprietaire titre
Divorcé(e),0.0,65+,0,1,1,Proprietaire titre
Célibataire,95612.523,25-34,0,1,0,Proprietaire titre
Célibataire,0.0,18-24,0,1,0,Locataire
Marié(e),140426.36,45-54,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,1,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Célibataire,0.0,0-17,0,1,0,Locataire
Marié(e),0.0,35-44,0,1,1,Locataire
Célibataire,14333.333,25-34,0,1,0,Autre
Marié(e),132942.48,45-54,0,1,1,Autre
Célibataire,0.0,0-17,0,0,1,Autre
Marié(e),30000.0,45-54,0,1,1,Autre
