region,sexe,mstat,branch,sectins,csp,rev_total_mois,log_revenu,sans_revenu,age_grp,age_num,bancarise,a_assurance,logem,Stg_formel
AUTONOME D'ABIDJAN,Féminin,Célibataire,Aut. services,Entreprise publique/ parapublique,Cadre moyen/agent de maîtrise,279244.0,12.539845,0,25-34,29,1,0,Locataire,1
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,17,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,15,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,12,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Non_connu,Non_connu,Non_connu,0.0,0.0,1,25-34,34,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),Education/Sante,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,45-54,50,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,3,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,1,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,55-64,56,1,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Non_connu,Non_connu,Non_connu,0.0,0.0,1,35-44,38,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Commerce,Entreprise Privée,Stagiaire ou Apprenti rénuméré,80000.0,11.289794,0,35-44,38,1,0,Autre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,55-64,55,1,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,14,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Autr. indust.,Entreprise Privée,Ouvrier ou employé non qualifié,30000.0,10.308986,0,35-44,39,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,35-44,43,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,9,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,12,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,35-44,42,1,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,2,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Non_connu,Non_connu,Non_connu,0.0,0.0,1,35-44,37,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,45-54,54,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,12,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,7,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,35-44,37,1,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,9,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,18-24,18,1,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,45-54,45,1,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,13,0,0,Locataire,0
