mstat,rev_total_mois,log_revenu,sans_revenu,age_grp,bancarise,a_assurance,logem,Stg_formel
Célibataire,279244.0,12.539845,0,25-34,1,0,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,0,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,55-64,1,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,0,0,Locataire,0
Célibataire,80000.0,11.289794,0,35-44,1,0,Autre,0
Célibataire,0.0,0.0,1,55-64,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),30000.0,10.308986,0,35-44,1,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,0,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,55-64,1,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,1,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,1,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,1,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Union libre,0.0,0.0,1,45-54,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Union libre,387905.0,12.868518,0,45-54,1,1,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Marié(e),380000.0,12.847929,0,35-44,1,1,Locataire,1
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Marié(e),200000.0,12.206078,0,35-44,1,1,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Marié(e),0.0,0.0,1,45-54,1,1,Locataire,0
Marié(e),316733.34,12.665818,0,45-54,1,1,Locataire,1
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Autre,0
Célibataire,0.0,0.0,1,25-34,1,0,Autre,0
Célibataire,0.0,0.0,1,25-34,0,0,Autre,0
Marié(e),367905.0,12.815582,0,45-54,1,1,Autre,1
Célibataire,0.0,0.0,1,0-17,0,0,Autre,0
Marié(e),448000.0,13.01255,0,55-64,1,1,Autre,1
Célibataire,0.0,0.0,1,18-24,1,1,Autre,0
Célibataire,0.0,0.0,1,25-34,1,0,Autre,0
Célibataire,0.0,0.0,1,0-17,0,0,Autre,0
Célibataire,0.0,0.0,1,25-34,1,0,Autre,0
Célibataire,60000.0,11.002116,0,18-24,1,0,Autre,1
Marié(e),340000.0,12.736704,0,25-34,1,1,Autre,1
Célibataire,0.0,0.0,1,0-17,0,0,Autre,0
Célibataire,0.0,0.0,1,0-17,0,1,Autre,0
Célibataire,0.0,0.0,1,0-17,0,1,Autre,0
Célibataire,0.0,0.0,1,18-24,0,0,Autre,0
Marié(e),340000.0,12.736704,0,25-34,1,1,Autre,1
Célibataire,0.0,0.0,1,18-24,1,0,Autre,0
Célibataire,0.0,0.0,1,0-17,0,1,Autre,0
Marié(e),280000.0,12.542548,0,45-54,1,1,Autre,1
Célibataire,0.0,0.0,1,0-17,0,1,Autre,0
Marié(e),0.0,0.0,1,45-54,1,1,Autre,0
Célibataire,0.0,0.0,1,0-17,1,1,Autre,0
Célibataire,0.0,0.0,1,25-34,1,0,Autre,0
Célibataire,0.0,0.0,1,0-17,0,0,Autre,0
Célibataire,0.0,0.0,1,0-17,0,1,Autre,0
Célibataire,0.0,0.0,1,0-17,0,1,Autre,0
Célibataire,0.0,0.0,1,18-24,1,0,Autre,0
Marié(e),308000.0,12.637858,0,45-54,1,1,Autre,1
Célibataire,0.0,0.0,1,0-17,0,1,Autre,0
Marié(e),142248.02,11.865335,0,45-54,1,1,Autre,1
Célibataire,0.0,0.0,1,0-17,0,1,Autre,0
Célibataire,0.0,0.0,1,18-24,1,0,Autre,0
Célibataire,0.0,0.0,1,0-17,0,0,Autre,0
Célibataire,0.0,0.0,1,0-17,0,1,Autre,0
Marié(e),230000.0,12.345839,0,25-34,1,1,Autre,1
Célibataire,0.0,0.0,1,18-24,1,0,Autre,0
Célibataire,0.0,0.0,1,18-24,1,0,Autre,0
Célibataire,0.0,0.0,1,18-24,1,0,Autre,0
Célibataire,0.0,0.0,1,0-17,0,0,Autre,0
Célibataire,0.0,0.0,1,18-24,1,0,Autre,1
Veuf(ve),139666.67,11.847021,0,45-54,1,1,Autre,1
Célibataire,459666.66,13.038259,0,25-34,1,0,Autre,1
Célibataire,0.0,0.0,1,18-24,1,0,Autre,1
Marié(e),180700.0,12.104599,0,35-44,1,1,Autre,1
Célibataire,0.0,0.0,1,0-17,0,1,Autre,0
Union libre,72817.43,11.195724,0,18-24,1,0,Autre,1
Union libre,0.0,0.0,1,18-24,1,0,Autre,1
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Marié(e),230000.0,12.345839,0,35-44,1,1,Locataire,1
Célibataire,0.0,0.0,1,0-17,1,0,Locataire,0
Marié(e),368864.41,12.818187,0,35-44,1,1,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Autre,0
Célibataire,0.0,0.0,1,45-54,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,45-54,0,0,Proprietaire titre,0
Divorcé(e),0.0,0.0,1,65+,1,1,Proprietaire titre,0
Célibataire,95612.523,11.468069,0,25-34,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Marié(e),140426.36,11.852446,0,45-54,1,0,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,1,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,1,Locataire,0
Célibataire,14333.333,9.5704126,0,25-34,1,0,Autre,0
Marié(e),132942.48,11.797679,0,45-54,1,1,Autre,1
Célibataire,0.0,0.0,1,0-17,0,1,Autre,0
Marié(e),30000.0,10.308986,0,45-54,1,1,Autre,1
Célibataire,0.0,0.0,1,0-17,0,1,Autre,0
Veuf(ve),0.0,0.0,1,65+,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,1,1,Proprietaire titre,1
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),250000.0,12.42922,0,35-44,0,0,Locataire,0
Célibataire,0.0,0.0,1,55-64,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,55-64,1,0,Proprietaire titre,0
Veuf(ve),0.0,0.0,1,65+,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,35-44,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,1,0,Proprietaire titre,0
Célibataire,89115.313,11.397697,0,25-34,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Divorcé(e),0.0,0.0,1,65+,0,0,Autre,0
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Veuf(ve),0.0,0.0,1,65+,0,1,Locataire,0
Marié(e),0.0,0.0,1,25-34,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Veuf(ve),0.0,0.0,1,65+,1,0,Proprietaire titre,0
Union libre,64000.0,11.066654,0,25-34,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Union libre,114108.78,11.644917,0,35-44,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,60000.0,11.002116,0,18-24,0,0,Autre,0
Veuf(ve),0.0,0.0,1,45-54,1,0,Autre,0
Célibataire,0.0,0.0,1,25-34,1,0,Autre,0
Célibataire,0.0,0.0,1,0-17,0,0,Autre,0
Célibataire,100000.0,11.512936,0,25-34,1,0,Autre,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),65000.0,11.082158,0,45-54,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,75000.0,11.225257,0,18-24,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),70000.0,11.156265,0,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Marié(e),87966.664,11.384725,0,45-54,1,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,0,0,Locataire,0
Veuf(ve),0.0,0.0,1,55-64,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Veuf(ve),0.0,0.0,1,65+,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,1,0,Locataire,0
Veuf(ve),0.0,0.0,1,55-64,1,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Autre,0
Célibataire,100000.0,11.512936,0,25-34,1,0,Autre,1
Célibataire,0.0,0.0,1,0-17,0,0,Autre,0
Marié(e),0.0,0.0,1,55-64,1,0,Autre,0
Marié(e),0.0,0.0,1,45-54,1,1,Autre,0
Célibataire,0.0,0.0,1,18-24,1,0,Autre,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
