Cluster_Assigné,lien_top,lien_prop_top,religion_top,religion_prop_top,ethnie_top,ethnie_prop_top,nation_top,nation_prop_top,aff30j_top,aff30j_prop_top,durarr_top,durarr_prop_top,educ_scol_top,educ_scol_prop_top,educ_hi_top,educ_hi_prop_top,diplome_top,diplome_prop_top,activ7j_top,activ7j_prop_top,activ12m_top,activ12m_prop_top,branch_top,branch_prop_top,sectins_top,sectins_prop_top,csp_top,csp_prop_top,sectins_sec_top,sectins_sec_prop_top,csp_sec_top,csp_sec_prop_top,serviceconsult_top,serviceconsult_prop_top,persconsult_top,persconsult_prop_top,age_grp_top,age_grp_prop_top,logem_top,logem_prop_top,resid,mal30j,arrmal,con30j,hos12m,couvmal,handit,handig,alfa,alfa2,scol,emploi_sec,telpor,internet,a_assurance,alphabete,elec_ac,elec_ur,elec_ua,tv,fer,frigo,cuisin,ordin,decod,car,Stg_formel,agemar_mean,agemar_std,agemar_min,agemar_max,volhor_mean,volhor_std,volhor_min,volhor_max,salaire_mean,salaire_std,salaire_min,salaire_max,volhor_sec_mean,volhor_sec_std,volhor_sec_min,volhor_sec_max,salaire_sec_mean,salaire_sec_std,salaire_sec_min,salaire_sec_max,superf_mean,superf_std,superf_min,superf_max
0,"Fils, Fille",0.49074074074074076,Chrétien,0.7376543209876543,BAOULE,0.8611111111111112,Cote d'ivoire,0.9876543209876543,Aucun,0.7314814814814815,Aucun,0.845679012345679,Primaire,0.46296296296296297,Primaire,0.5462962962962963,Aucun,0.8888888888888888,Inactif,0.6450617283950617,Non occupe,0.6450617283950617,Non connu,0.8888888888888888,Non connu,0.8888888888888888,Non connu,0.8888888888888888,Non connu,1.0,Non connu,1.0,Pas de consultation,0.8425925925925926,Pas de consultation,0.8425925925925926,0-17,0.9228395061728395,Proprietaire sans titre,0.48148148148148145,0.9814814814814815,0.26851851851851855,0.15432098765432098,0.1574074074074074,0.009259259259259259,0.030864197530864196,0.033950617283950615,0.009259259259259259,0.5277777777777778,0.5216049382716049,0.5401234567901234,0.0,0.08024691358024691,0.012345679012345678,0.030864197530864196,0.5277777777777778,0.654320987654321,0.6790123456790124,0.10493827160493827,0.28703703703703703,0.012345679012345678,0.06790123456790123,0.009259259259259259,0.006172839506172839,0.1697530864197531,0.0,0.0030864197530864196,-0.9351851851851852,1.166666666666667,-1.0,20.0,17.925925925925927,159.23017416938623,0.0,1920.0,925.925925925926,16666.666666666668,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4002500.188807193,18664587.95917012,0.0,180432912.0
1,"Fils, Fille",0.7206349206349206,Chrétien,0.5058201058201058,Inconnue,0.17566137566137566,Cote d'ivoire,0.8243386243386244,Aucun,0.7693121693121693,Aucun,0.8772486772486773,Aucun,0.41164021164021164,Primaire,0.3798941798941799,Aucun,0.7026455026455026,Inactif,0.6687830687830688,Non occupe,0.6835978835978836,Non connu,0.9238095238095239,Non connu,0.9238095238095239,Non connu,0.9238095238095239,Non connu,0.9989417989417989,Non connu,0.9989417989417989,Pas de consultation,0.8328042328042328,Pas de consultation,0.8328042328042328,0-17,0.8158730158730159,Locataire,0.7238095238095238,0.9968253968253968,0.2306878306878307,0.12275132275132275,0.1671957671957672,0.020105820105820106,0.14179894179894179,0.033862433862433865,0.012698412698412698,0.6888888888888889,0.6793650793650794,0.5883597883597883,0.0010582010582010583,0.18518518518518517,0.17671957671957672,0.14179894179894179,0.6888888888888889,0.9354497354497354,0.9386243386243386,0.05925925925925926,0.8476190476190476,0.13333333333333333,0.4708994708994709,0.21164021164021163,0.12698412698412698,0.4888888888888889,0.0962962962962963,0.025396825396825397,-0.9671957671957672,1.0084300753801507,-1.0,30.0,152.04496634920633,615.0531667818227,0.0,3900.0,40639.18692063492,232815.0257348703,0.0,3035295.5,0.5079365079365079,15.614401167176538,0.0,480.0,634.9206349206349,19518.001458970688,0,600000,0.0014814814562520023,0.03218599766311247,0.0,0.699999988079071
2,Chef de ménage,0.9168975069252078,Chrétien,0.6094182825484764,BAOULE,0.3850415512465374,Cote d'ivoire,0.889196675900277,Aucun,0.6481994459833795,Aucun,0.7534626038781164,Aucun,0.9944598337950139,Aucun,0.3878116343490305,Aucun,0.6592797783933518,Occupe,0.9473684210526315,Occupe,0.9473684210526315,Agriculture,0.778393351800554,Entreprise Privée,0.961218836565097,Travailleur pour compte propre,0.7146814404432132,Non connu,0.7700831024930748,Non connu,0.7700831024930748,Pas de consultation,0.7894736842105263,Pas de consultation,0.7894736842105263,35-44,0.3988919667590028,Proprietaire sans titre,0.45429362880886426,1.0,0.3518005540166205,0.24653739612188366,0.21052631578947367,0.030470914127423823,0.055401662049861494,0.22714681440443213,0.04155124653739612,0.6426592797783933,0.6371191135734072,0.00554016620498615,0.2299168975069252,0.9806094182825484,0.27146814404432135,0.055401662049861494,0.6426592797783933,0.4404432132963989,0.5318559556786704,0.31301939058171746,0.3656509695290859,0.019390581717451522,0.060941828254847646,0.0221606648199446,0.013850415512465374,0.20221606648199447,0.00554016620498615,0.07756232686980609,25.23268698060942,6.046223406582182,15.0,54.0,1881.154614570637,882.0717938308327,0.0,3600.0,334126.91540166206,828337.4428929172,0.0,5307600.0,141.7229916897507,326.4576044415133,0.0,1440.0,21814.404432132964,116698.43097461064,0,960000,7718331.48746468,76214796.48762102,0.0,1290846144.0
3,Conjoint ( e ),0.8674948240165632,Musulman,0.6197377501725327,SENOUFO,0.16563146997929606,Cote d'ivoire,0.8647342995169082,Aucun,0.6645962732919255,Aucun,0.7715665976535542,Aucun,0.9910282953761215,Aucun,0.5824706694271912,Aucun,0.7694962042788129,Occupe,0.6066252587991718,Occupe,0.6135265700483091,Commerce,0.35196687370600416,Entreprise Privée,0.6701173222912353,Travailleur pour compte propre,0.48999309868875085,Non connu,0.9192546583850931,Non connu,0.9192546583850931,Pas de consultation,0.7853692201518289,Pas de consultation,0.7853692201518289,35-44,0.3498964803312629,Locataire,0.3940648723257419,0.9986197377501725,0.33540372670807456,0.22843340234644582,0.21463077984817117,0.04899930986887509,0.0945479641131815,0.1621808143547274,0.035196687370600416,0.4720496894409938,0.4658385093167702,0.008971704623878536,0.08074534161490683,0.9475500345065563,0.4030365769496204,0.0945479641131815,0.4720496894409938,0.7950310559006211,0.8640441683919945,0.11594202898550725,0.7474120082815735,0.0800552104899931,0.2636300897170462,0.08074534161490683,0.047619047619047616,0.44306418219461696,0.03036576949620428,0.051759834368530024,21.185645272601793,5.188242486414687,12.0,50.0,1109.7817140027605,1126.695938128034,0.0,3900.0,155094.74648723257,644890.515891629,0.0,9200000.0,46.391304347826086,190.7016072051615,0.0,1560.0,910.9730848861284,24612.99228409175,0,720000,5965138.757555782,100174339.78294837,0.0,2557890112.0
4,"Fils, Fille",0.6881720430107527,Musulman,0.5053763440860215,Inconnue,0.22939068100358423,Cote d'ivoire,0.7706093189964157,Aucun,0.7956989247311828,Aucun,0.8817204301075269,Aucun,0.5017921146953405,Aucun,0.4265232974910394,Aucun,0.8028673835125448,Inactif,0.6774193548387096,Non occupe,0.6774193548387096,Non connu,0.931899641577061,Non connu,0.931899641577061,Non connu,0.931899641577061,Non connu,1.0,Non connu,1.0,Pas de consultation,0.8637992831541219,Pas de consultation,0.8637992831541219,0-17,0.946236559139785,Proprietaire titre,0.4014336917562724,0.992831541218638,0.20430107526881722,0.11827956989247312,0.13620071684587814,0.010752688172043012,0.025089605734767026,0.025089605734767026,0.014336917562724014,0.5125448028673835,0.5089605734767025,0.4982078853046595,0.0,0.08243727598566308,0.025089605734767026,0.025089605734767026,0.5125448028673835,0.6129032258064516,0.7132616487455197,0.23297491039426524,0.6415770609318996,0.035842293906810034,0.17204301075268819,0.017921146953405017,0.017921146953405017,0.24014336917562723,0.0,0.007168458781362007,-0.946236559139785,0.8980265101338744,-1.0,14.0,35.053763440860216,295.9533685898346,0.0,3300.0,2365.5913978494623,30654.65036120451,0.0,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,592843.3019383,1735837.2433909595,0.0,10118230.5
5,"Fils, Fille",0.7109004739336493,Chrétien,0.6208530805687204,Inconnue,0.3886255924170616,Cote d'ivoire,0.6113744075829384,Aucun,0.7156398104265402,Aucun,0.8104265402843602,Aucun,0.5450236966824644,Aucun,0.43601895734597157,Aucun,0.8909952606635071,Inactif,0.6066350710900474,Non occupe,0.6066350710900474,Non connu,0.9146919431279621,Non connu,0.9146919431279621,Non connu,0.9146919431279621,Non connu,1.0,Non connu,1.0,Pas de consultation,0.7819905213270142,Pas de consultation,0.7819905213270142,0-17,0.9146919431279621,Proprietaire sans titre,0.35545023696682465,0.985781990521327,0.2843601895734597,0.1895734597156398,0.21800947867298578,0.037914691943127965,0.061611374407582936,0.04739336492890995,0.0,0.46919431279620855,0.46445497630331756,0.4549763033175355,0.0,0.09004739336492891,0.04739336492890995,0.061611374407582936,0.46919431279620855,0.5450236966824644,0.46445497630331756,0.41706161137440756,0.44549763033175355,0.04739336492890995,0.11374407582938388,0.02843601895734597,0.014218009478672985,0.25118483412322273,0.0,0.014218009478672985,-0.9146919431279621,1.2391711034787256,-1.0,17.0,134.69742300947868,560.359872338889,0.0,3456.0,25238.338909952607,118095.23470253799,0.0,720000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2153594.1965177385,7938981.85708199,0.0,73846958.0
6,Conjoint ( e ),0.9444693237796686,Musulman,0.5615763546798029,Inconnue,0.28929690998656515,Cote d'ivoire,0.7102552619793999,Aucun,0.7581728616211375,Aucun,0.8262427227944469,Aucun,0.9964173757277206,Aucun,0.8504254366323332,Aucun,0.9511867442901926,TF cherchant pas,0.48410210479175997,Trav. fam.,0.49395432154052843,Agriculture,0.6506941334527542,Entreprise Privée,0.742498880429915,Travailleur Familial contribuant pour une entreprise familial,0.45588893864755936,Non connu,0.9399910434393193,Non connu,0.9399910434393193,Pas de consultation,0.8423645320197044,Pas de consultation,0.8423645320197044,25-34,0.6332288401253918,Proprietaire sans titre,0.528437080161218,0.999552171965965,0.24182713837886252,0.17375727720555306,0.15763546798029557,0.03358710255261979,0.00806090461262875,0.050156739811912224,0.009852216748768473,0.15987460815047022,0.15718763994626064,0.004030452306314375,0.0600089565606807,0.4536497984773847,0.0380653828929691,0.00806090461262875,0.15987460815047022,0.3367666815942678,0.41961486789072994,0.41513658755038063,0.2843708016121809,0.0022391401701746527,0.03493058665472459,0.0013434841021047917,0.0017913121361397223,0.14733542319749215,0.003134796238244514,0.004030452306314375,18.203761755485893,2.943790043693728,10.0,32.0,345.4070756829378,713.6901293924457,0.0,3600.0,19333.47776533811,103878.15190080868,0.0,2080000.0,32.35154500671742,163.07258789711764,0.0,1764.0,448.7236901030004,10439.155913812378,0,372000,22445126.60454226,210970521.6485667,0.0,4640695616.0
7,"Père, Mère",0.4149286498353458,Chrétien,0.47639956092206365,BAOULE,0.2996706915477497,Cote d'ivoire,0.9198682766190999,Aucun,0.5203073545554336,Aucun,0.6377607025246982,Aucun,1.0,Aucun,0.9308452250274424,Aucun,0.9857299670691547,Inactif,0.5697036223929748,Non occupe,0.5686059275521405,Non connu,0.5686059275521405,Non connu,0.5686059275521405,Non connu,0.5686059275521405,Non connu,0.9527991218441273,Non connu,0.9527991218441273,Pas de consultation,0.716794731064764,Pas de consultation,0.716794731064764,65+,0.5960482985729967,Proprietaire sans titre,0.535675082327113,0.986827661909989,0.4796926454445664,0.36223929747530187,0.283205268935236,0.07354555433589462,0.006586169045005488,0.6092206366630076,0.270032930845225,0.07683863885839737,0.07574094401756312,0.0,0.04720087815587267,0.3907793633369923,0.003293084522502744,0.006586169045005488,0.07683863885839737,0.47859495060373214,0.5686059275521405,0.21405049396267836,0.21185510428100987,0.006586169045005488,0.0570801317233809,0.006586169045005488,0.005488474204171241,0.10647639956092206,0.0021953896816684962,0.0,18.713501646542262,7.718268889334849,-1.0,40.0,531.2064086717893,835.985870493116,0.0,3600.0,3267.4812074643246,45441.447484807264,0.0,840000.0,26.605927552140503,146.29469553899582,0.0,1540.0,2414.928649835346,48105.734699268876,0,1300000,184288122.84149638,5348810000.247354,0.0,161412694030.5793
8,Chef de ménage,0.9181222707423581,Musulman,0.3875545851528384,Inconnue,0.2259825327510917,Cote d'ivoire,0.7718340611353712,Aucun,0.6790393013100436,Aucun,0.767467248908297,Aucun,1.0,Aucun,0.7106986899563319,Aucun,0.8842794759825328,Occupe,0.9290393013100436,Occupe,0.9323144104803494,Agriculture,0.8733624454148472,Entreprise Privée,0.9410480349344978,Travailleur pour compte propre,0.8668122270742358,Non connu,0.8755458515283843,Non connu,0.8755458515283843,Pas de consultation,0.8362445414847162,Pas de consultation,0.8362445414847162,45-54,0.509825327510917,Proprietaire sans titre,0.5589519650655022,0.9978165938864629,0.32096069868995636,0.23253275109170304,0.16375545851528384,0.05458515283842795,0.004366812227074236,0.33624454148471616,0.10807860262008734,0.3351528384279476,0.3296943231441048,0.0,0.12445414847161572,0.769650655021834,0.0425764192139738,0.004366812227074236,0.3351528384279476,0.33624454148471616,0.4104803493449782,0.3318777292576419,0.18668122270742357,0.0054585152838427945,0.03165938864628821,0.001091703056768559,0.0,0.10152838427947598,0.002183406113537118,0.0032751091703056767,22.828602620087338,11.435544749956394,-1.0,60.0,1747.2166806113537,876.2795591538083,0.0,3600.0,47994.523231441046,229539.46693136625,0.0,2880000.0,65.9650655021834,217.39311646015378,0.0,1560.0,8788.2096069869,84160.31353610747,0,1440000,14162618.128775105,155975132.64417997,0.0,3265927232.0
9,Chef de ménage,0.9735023041474654,Musulman,0.6866359447004609,Inconnue,0.195852534562212,Cote d'ivoire,0.804147465437788,Aucun,0.7211981566820277,Aucun,0.8145161290322581,Aucun,0.9976958525345622,Aucun,0.5288018433179723,Aucun,0.716589861751152,Occupe,0.9654377880184332,Occupe,0.967741935483871,Agriculture,0.2903225806451613,Entreprise Privée,0.9193548387096774,Travailleur pour compte propre,0.5576036866359447,Non connu,0.8179723502304147,Non connu,0.8179723502304147,Pas de consultation,0.8237327188940092,Pas de consultation,0.8237327188940092,35-44,0.5241935483870968,Locataire,0.3778801843317972,1.0,0.27880184331797236,0.18548387096774194,0.17626728110599077,0.03341013824884793,0.07258064516129033,0.10368663594470046,0.02534562211981567,0.6221198156682027,0.618663594470046,0.002304147465437788,0.18202764976958524,0.9919354838709677,0.597926267281106,0.07258064516129033,0.6221198156682027,0.6762672811059908,0.8052995391705069,0.1543778801843318,0.6578341013824884,0.04723502304147465,0.14861751152073732,0.03456221198156682,0.038018433179723504,0.3629032258064516,0.018433179723502304,0.1716589861751152,25.138248847926267,4.741703145253124,15.0,41.0,1996.7206887096775,974.860174291463,0.0,4500.0,638938.0948156682,1153844.537614329,0.0,8484000.0,103.6647465437788,272.8823792341225,0.0,1680.0,25304.146313364054,185626.96244168532,0,2600000,46051988.01318059,741904375.2956069,0.0,20931702900.84668
