CodDistric,NomDistric,ChefLieu_Distr,CodReg,NomReg,ChefLieu_Reg,CodDep,NomDep,CodSp,NomSp,Superfkm_,Type_1,Type_2,Unnamed: 13
4,COMOE,ABENGOUROU,5,INDENIE-DJUABLIN,ABENGOUROU,1,ABENGOUROU,1,ABENGOUROU,785.0,0,Commune,SousPrefecture
8,LACS,DIMBOKRO,11,N'ZI,DIMBOKRO,20,DIMBOKRO,1,ABIGUI,523.0,80,,SousPrefecture
1,AUTONOME D'ABIDJAN,ABIDJAN,1,ABIDJAN,,2,ABIDJAN,1,ABOBO,97.0,30,Commune,
4,COMOE,ABENGOUROU,13,SUD-COMOE,ABOISSO,3,ABOISSO,1,ABOISSO,373.0,20,Commune,SousPrefecture
9,LAGUNES,DABOU,30,LA ME,ADZOPE,52,ALEPE,1,ABOISSO-COMOE,658.0,60,,SousPrefecture
9,LAGUNES,DABOU,30,LA ME,ADZOPE,94,YAKASSE-ATTOBROU,1,ABONGOUA,246.0,80,,SousPrefecture
9,LAGUNES,DABOU,16,AGNEBY-TIASSA,AGBOVILLE,5,AGBOVILLE,1,ABOUDE,232.0,20,,SousPrefecture
4,COMOE,ABENGOUROU,13,SUD-COMOE,ABOISSO,3,ABOISSO,2,ADAOU,573.0,0,,SousPrefecture
4,COMOE,ABENGOUROU,13,SUD-COMOE,ABOISSO,51,ADIAKE,1,ADIAKE,412.0,30,Commune,SousPrefecture
1,AUTONOME D'ABIDJAN,ABIDJAN,1,ABIDJAN,,2,ABIDJAN,2,ADJAME,12.0,10,Commune,
4,COMOE,ABENGOUROU,13,SUD-COMOE,ABOISSO,3,ABOISSO,3,ADJOUAN,263.0,0,,SousPrefecture
9,LAGUNES,DABOU,30,LA ME,ADZOPE,4,ADZOPE,1,ADZOPE,1082.0,40,Commune,SousPrefecture
9,LAGUNES,DABOU,30,LA ME,ADZOPE,60,AKOUPE,1,AFFERY,641.0,10,Commune,SousPrefecture
9,LAGUNES,DABOU,16,AGNEBY-TIASSA,AGBOVILLE,5,AGBOVILLE,3,AGBOVILLE,918.0,0,Commune,SousPrefecture
4,COMOE,ABENGOUROU,5,INDENIE-DJUABLIN,ABENGOUROU,6,AGNIBILEKROU,1,AGNIBILEKROU,466.0,0,Commune,SousPrefecture
9,LAGUNES,DABOU,30,LA ME,ADZOPE,4,ADZOPE,2,AGOU,252.0,40,Commune,SousPrefecture
9,LAGUNES,DABOU,26,GRAND-PONTS,DABOU,25,GRAND-LAHOU,1,AHOUANOU,573.0,30,,SousPrefecture
4,COMOE,ABENGOUROU,5,INDENIE-DJUABLIN,ABENGOUROU,6,AGNIBILEKROU,2,AKOBOISSUE,261.0,0,,SousPrefecture
9,LAGUNES,DABOU,30,LA ME,ADZOPE,60,AKOUPE,2,AKOUPE,568.0,80,Commune,SousPrefecture
8,LACS,DIMBOKRO,29,IFFOU,DAOUKRO,111,OUELLE,1,AKPASSANOU,301.0,30,,SousPrefecture
9,LAGUNES,DABOU,30,LA ME,ADZOPE,52,ALEPE,2,ALEPE,426.0,50,Commune,SousPrefecture
9,LAGUNES,DABOU,30,LA ME,ADZOPE,52,ALEPE,3,ALLOSSO,359.0,50,,SousPrefecture
14,ZANZAN,BONDOUKOU,8,GONTOUGO,BONDOUKOU,43,TANDA,1,AMANVI,134.0,30,,SousPrefecture
4,COMOE,ABENGOUROU,5,INDENIE-DJUABLIN,ABENGOUROU,1,ABENGOUROU,2,AMELEKIA,469.0,10,,SousPrefecture
8,LACS,DIMBOKRO,29,IFFOU,DAOUKRO,111,OUELLE,2,ANANDA,536.0,30,,SousPrefecture
9,LAGUNES,DABOU,16,AGNEBY-TIASSA,AGBOVILLE,5,AGBOVILLE,2,ANANGUIE,260.0,20,,SousPrefecture
8,LACS,DIMBOKRO,33,MORONOU,BONGOUANOU,11,BONGOUANOU,1,ANDE,317.0,0,,SousPrefecture
12,VALLEE DU BANDAMA,BOUAKE,4,GBEKE,BOUAKE,8,BEOUMI,1,ANDO-KEKRENOU,320.0,0,,SousPrefecture
8,LACS,DIMBOKRO,21,BELIER,YAMOUSSOUKRO,47,TOUMODI,1,ANGODA,243.0,50,,SousPrefecture
8,LACS,DIMBOKRO,29,IFFOU,DAOUKRO,64,PRIKRO,1,ANIANOU,246.0,90,,SousPrefecture
4,COMOE,ABENGOUROU,5,INDENIE-DJUABLIN,ABENGOUROU,1,ABENGOUROU,3,ANIASSUE,753.0,0,,SousPrefecture
9,LAGUNES,DABOU,30,LA ME,ADZOPE,4,ADZOPE,3,ANNEPE,167.0,90,,SousPrefecture
8,LACS,DIMBOKRO,33,MORONOU,BONGOUANOU,84,M'BATTO,1,ANOUMABA,366.0,0,Commune,SousPrefecture
1,AUTONOME D'ABIDJAN,ABIDJAN,1,ABIDJAN,,2,ABIDJAN,3,ANYAMA,482.0,10,Commune,SousPrefecture
14,ZANZAN,BONDOUKOU,8,GONTOUGO,BONDOUKOU,10,BONDOUKOU,1,APPIMANDOUM,119.0,60,,SousPrefecture
12,VALLEE DU BANDAMA,BOUAKE,28,HAMBOL,KATIOLA,85,NIAKARAMADOUGOU,1,ARIKOKAHA,820.0,0,,SousPrefecture
