index,mean,median,std,cluster
age_num,8.891975308641975,8.0,6.0090795944257405,0
bancarise,0.0,0.0,0.0,0
age_num,10.731501057082452,9.0,7.770504622163716,1
bancarise,0.0,0.0,0.0,1
age_num,37.427374301675975,36.5,8.873150848010567,2
bancarise,1.0,1.0,0.0,2
age_num,36.24116424116424,36.0,9.397452765359716,3
bancarise,1.0,1.0,0.0,3
age_num,8.982078853046595,9.0,5.85216875321124,4
bancarise,0.0,0.0,0.0,4
age_num,8.492890995260664,8.0,6.458194992002647,5
bancarise,0.0,0.0,0.0,5
age_num,26.14394278050961,27.0,4.616396190280166,6
bancarise,0.0,0.0,0.0,6
age_num,67.93558951965065,67.0,11.430913879086965,7
bancarise,0.0,0.0,0.0,7
age_num,53.540393013100434,53.0,6.1150629626054265,8
bancarise,0.0,0.0,0.0,8
age_num,34.20184544405998,35.0,4.842278805159117,9
bancarise,1.0,1.0,0.0,9
age_num,27.54859335038363,26.0,8.653794579884545,10
bancarise,1.0,1.0,0.0,10
age_num,65.31732776617955,64.0,6.962807076458199,11
bancarise,1.0,1.0,0.0,11
age_num,11.063316582914572,10.0,7.713364180248415,12
bancarise,0.0,0.0,0.0,12
age_num,65.49784791965567,64.0,6.943764958484514,13
bancarise,1.0,1.0,0.0,13
age_num,24.029239766081872,22.0,7.171676306528045,14
bancarise,1.0,1.0,0.0,14
age_num,35.49391069012179,35.0,8.39057750843117,15
bancarise,1.0,1.0,0.0,15
age_num,8.101503759398497,7.0,6.068429432388616,16
bancarise,0.0,0.0,0.0,16
age_num,27.124752475247526,25.0,8.971863049306686,17
bancarise,0.998019801980198,1.0,0.044499415948998616,17
age_num,9.308196721311475,8.0,7.430030378312689,18
bancarise,0.0,0.0,0.0,18
age_num,9.462750716332378,9.0,6.476481181287458,19
bancarise,0.0,0.0,0.0,19
age_num,10.078028747433265,8.0,7.55950807667482,20
bancarise,0.0,0.0,0.0,20
age_num,26.336546888694127,24.0,8.723368796129277,21
bancarise,1.0,1.0,0.0,21
age_num,40.285240464344945,39.0,9.908630641831072,22
bancarise,0.7097844112769486,1.0,0.4542385691426778,22
age_num,59.596774193548384,60.0,9.190998854994517,23
bancarise,1.0,1.0,0.0,23
age_num,40.63163371488033,40.0,4.4483967404803195,24
bancarise,0.0,0.0,0.0,24
age_num,8.046551724137931,7.0,5.473715352862198,25
bancarise,0.0,0.0,0.0,25
age_num,7.615584415584416,7.0,5.080371360459109,26
bancarise,0.0,0.0,0.0,26
age_num,7.376383763837638,7.0,4.676817870402973,27
bancarise,0.0,0.0,0.0,27
age_num,8.407738095238095,8.0,5.786536066130929,28
bancarise,0.0,0.0,0.0,28
age_num,39.95564516129032,39.0,10.219951927276705,29
bancarise,0.9959677419354839,1.0,0.06350006350009521,29
age_num,10.790909090909091,9.0,8.414051581132757,30
bancarise,0.0,0.0,0.0,30
age_num,35.04578096947935,36.0,6.168105160204909,31
bancarise,0.0,0.0,0.0,31
age_num,9.89760348583878,9.0,6.8633237272324354,32
bancarise,0.0,0.0,0.0,32
age_num,67.44472361809045,67.0,11.380778784514716,33
bancarise,0.0,0.0,0.0,33
age_num,51.172649572649576,50.0,7.908678516585607,34
bancarise,0.0,0.0,0.0,34
age_num,8.774946921443737,8.0,6.008530172812837,35
bancarise,0.0,0.0,0.0,35
age_num,9.63743676222597,9.0,6.300612489515449,36
bancarise,0.0,0.0,0.0,36
age_num,9.162729658792651,8.0,7.107059270663452,37
bancarise,0.0,0.0,0.0,37
age_num,8.628947368421052,7.0,6.489829993778429,38
bancarise,0.0,0.0,0.0,38
age_num,9.42056074766355,8.0,7.350642892603303,39
bancarise,0.0,0.0,0.0,39
age_num,7.940993788819876,7.0,5.6914098472878845,40
bancarise,0.0,0.0,0.0,40
age_num,7.440528634361233,7.0,5.27141784319406,41
bancarise,0.0,0.0,0.0,41
age_num,9.314606741573034,9.0,7.0009666631537675,42
bancarise,0.011235955056179775,0.0,0.10599978800063584,42
age_num,7.966666666666667,7.0,5.821052433646906,43
bancarise,0.0,0.0,0.0,43
age_num,9.307692307692308,8.0,6.077414091015559,44
bancarise,0.0,0.0,0.0,44
age_num,8.675438596491228,8.0,6.09340571550949,45
bancarise,0.0,0.0,0.0,45
age_num,9.07906976744186,8.0,6.5779495050791805,46
bancarise,0.0,0.0,0.0,46
age_num,9.02593659942363,8.0,6.930448560957971,47
bancarise,0.0,0.0,0.0,47
age_num,8.850374064837906,7.0,7.320693690472618,48
bancarise,0.0,0.0,0.0,48
age_num,9.985250737463128,10.0,6.843760656404622,49
bancarise,0.0,0.0,0.0,49
age_num,10.408108108108108,10.0,6.658811566548183,50
bancarise,0.0,0.0,0.0,50
age_num,7.37378640776699,7.0,5.397223061147802,51
bancarise,0.0,0.0,0.0,51
age_num,48.37808417997097,48.0,4.485757186082116,52
bancarise,1.0,1.0,0.0,52
age_num,16.582608695652173,15.0,5.669275919056986,53
bancarise,0.0,0.0,0.0,53
age_num,9.04391891891892,9.0,5.898126405773984,54
bancarise,0.0,0.0,0.0,54
age_num,5.353769676884839,5.0,3.2414815965408312,55
bancarise,0.0,0.0,0.0,55
age_num,47.62323943661972,46.0,10.715774296075809,56
bancarise,0.8908450704225352,1.0,0.3121083630335477,56
age_num,9.300261096605745,8.0,6.553539065054837,57
bancarise,0.0,0.0,0.0,57
age_num,9.697160883280757,9.0,6.820234100068039,58
bancarise,0.0,0.0,0.0,58
age_num,58.420333839150224,57.0,9.19846752190841,59
bancarise,1.0,1.0,0.0,59
age_num,5.641065028161802,5.0,3.6417002666813527,60
bancarise,0.0,0.0,0.0,60
age_num,9.205731832139202,8.0,6.285036867347236,61
bancarise,0.0,0.0,0.0,61
age_num,9.064690026954178,9.0,6.342999426768174,62
bancarise,0.0,0.0,0.0,62
age_num,8.99644128113879,9.0,6.305608739527375,63
bancarise,0.0,0.0,0.0,63
age_num,25.036328871892927,22.0,8.256916457173043,64
bancarise,1.0,1.0,0.0,64
age_num,8.448,8.0,6.3098971575642535,65
bancarise,0.0,0.0,0.0,65
age_num,7.466666666666667,7.0,5.501707899272479,66
bancarise,0.0,0.0,0.0,66
age_num,9.808943089430894,9.0,6.665176123399262,67
bancarise,0.0,0.0,0.0,67
age_num,45.5588785046729,44.0,11.688200725221842,68
bancarise,0.0,0.0,0.0,68
age_num,8.654811715481172,7.0,6.330526344700947,69
bancarise,0.0,0.0,0.0,69
age_num,7.970430107526882,8.0,5.16119533449531,70
bancarise,0.0,0.0,0.0,70
age_num,7.639082751744766,7.0,5.361760603031534,71
bancarise,0.0,0.0,0.0,71
age_num,10.011173184357542,9.0,6.354150214648327,72
bancarise,0.0,0.0,0.0,72
age_num,9.472,9.0,6.40008689780578,73
bancarise,0.0,0.0,0.0,73
age_num,7.978208232445521,7.0,5.6548810160823555,74
bancarise,0.0,0.0,0.0,74
age_num,9.201970443349754,8.0,7.040448628476114,75
bancarise,0.0,0.0,0.0,75
age_num,48.02628434886499,48.0,4.447651622747283,76
bancarise,1.0,1.0,0.0,76
age_num,9.556407447973713,9.0,6.857640076240883,77
bancarise,0.0,0.0,0.0,77
age_num,9.630653266331658,8.0,7.764919178539222,78
bancarise,0.0,0.0,0.0,78
age_num,9.30976430976431,8.0,6.257946498607379,79
bancarise,0.0,0.0,0.0,79
age_num,36.50949367088607,36.0,9.967772398560289,80
bancarise,0.0,0.0,0.0,80
age_num,16.04710793082886,15.0,4.974114286147981,81
bancarise,0.0,0.0,0.0,81
age_num,8.908376963350785,8.0,5.991199406188827,82
bancarise,0.0,0.0,0.0,82
age_num,9.889182058047494,9.0,6.3756617348095,83
bancarise,0.0,0.0,0.0,83
age_num,7.90009425070688,7.0,5.405221967635579,84
bancarise,0.0,0.0,0.0,84
age_num,33.89655172413793,35.0,5.008546590544352,85
bancarise,1.0,1.0,0.0,85
age_num,9.302631578947368,9.0,6.901513177633267,86
bancarise,0.0,0.0,0.0,86
age_num,8.881006864988558,8.0,6.325246551560356,87
bancarise,0.0,0.0,0.0,87
age_num,58.182530795072786,57.0,7.050367121472271,88
bancarise,0.0,0.0,0.0,88
age_num,10.227611940298507,9.0,7.706973269218027,89
