cluster_model,cluster_rules,match_score,concordance
17,17,7,True
12,12,7,True
1,1,7,True
12,12,7,True
22,22,7,True
56,56,7,True
1,1,7,True
12,12,7,True
56,11,7,False
22,22,7,True
94,Aucun,0,False
56,Aucun,0,False
12,12,7,True
22,22,7,True
56,56,7,True
1,1,7,True
1,1,7,True
94,Aucun,0,False
12,12,7,True
22,22,7,True
56,56,7,True
1,1,7,True
12,12,7,True
94,Aucun,0,False
12,12,7,True
17,17,7,True
22,22,7,True
12,12,7,True
56,11,7,False
94,94,7,True
56,56,7,True
22,22,7,True
1,1,7,True
17,17,7,True
94,94,7,True
12,12,7,True
17,17,7,True
12,12,7,True
22,Aucun,0,False
1,1,7,True
56,Aucun,0,False
12,12,7,True
17,17,7,True
1,1,7,True
56,56,7,True
94,94,7,True
22,22,7,True
12,12,7,True
22,22,7,True
56,56,7,True
17,17,7,True
1,1,7,True
94,94,7,True
17,17,7,True
1,1,7,True
12,12,7,True
17,17,7,True
1,Aucun,0,False
22,22,7,True
1,1,7,True
56,11,7,False
17,17,7,True
17,17,7,True
1,1,7,True
94,94,7,True
94,94,7,True
56,Aucun,0,False
12,12,7,True
12,12,7,True
12,12,7,True
12,12,7,True
22,22,7,True
17,17,7,True
12,12,7,True
56,56,7,True
12,12,7,True
22,22,7,True
94,94,7,True
17,17,7,True
1,1,7,True
12,12,7,True
1,1,7,True
17,17,7,True
56,56,7,True
12,12,7,True
22,22,7,True
12,12,7,True
17,17,7,True
12,12,7,True
12,Aucun,0,False
22,22,7,True
94,94,7,True
17,17,7,True
17,17,7,True
12,12,7,True
17,17,7,True
23,23,7,True
94,94,7,True
94,94,7,True
22,22,7,True
12,12,7,True
94,Aucun,0,False
17,Aucun,0,False
12,12,7,True
22,22,7,True
17,17,7,True
56,56,7,True
1,1,7,True
94,94,7,True
94,Aucun,0,False
94,Aucun,0,False
23,Aucun,0,False
94,94,7,True
94,94,7,True
56,56,7,True
12,12,7,True
1,1,7,True
17,17,7,True
22,22,7,True
17,17,7,True
22,22,7,True
12,12,7,True
56,56,7,True
12,12,7,True
11,Aucun,0,False
17,17,7,True
1,1,7,True
22,Aucun,0,False
12,12,7,True
56,Aucun,0,False
17,Aucun,0,False
17,Aucun,0,False
23,Aucun,0,False
94,Aucun,0,False
17,17,7,True
94,94,7,True
17,17,7,True
12,12,7,True
1,1,7,True
33,Aucun,0,False
12,12,7,True
33,33,7,True
22,22,7,True
1,1,7,True
56,Aucun,0,False
12,12,7,True
23,Aucun,0,False
17,Aucun,0,False
12,12,7,True
56,Aucun,0,False
12,12,7,True
1,1,7,True
12,12,7,True
23,23,7,True
94,94,7,True
1,1,7,True
94,94,7,True
12,12,7,True
22,22,7,True
12,12,7,True
56,56,7,True
1,1,7,True
56,56,7,True
1,1,7,True
22,22,7,True
12,12,7,True
1,1,7,True
94,94,7,True
94,94,7,True
12,12,7,True
56,56,7,True
12,12,7,True
1,1,7,True
22,22,7,True
1,1,7,True
12,12,7,True
22,22,7,True
1,1,7,True
56,56,7,True
17,17,7,True
56,56,7,True
22,22,7,True
33,33,7,True
94,94,7,True
12,12,7,True
23,23,7,True
1,1,7,True
1,1,7,True
17,17,7,True
94,94,7,True
56,Aucun,0,False
17,17,7,True
1,1,7,True
12,12,7,True
17,17,7,True
12,12,7,True
56,11,7,False
22,22,7,True
17,17,7,True
12,12,7,True
17,Aucun,0,False
56,Aucun,0,False
1,1,7,True
22,Aucun,0,False
1,Aucun,0,False
94,94,7,True
33,33,7,True
12,Aucun,0,False
23,Aucun,0,False
33,33,7,True
94,94,7,True
17,17,7,True
12,12,7,True
1,1,7,True
56,Aucun,0,False
17,17,7,True
17,Aucun,0,False
1,1,7,True
94,Aucun,0,False
12,12,7,True
22,Aucun,0,False
22,Aucun,0,False
1,1,7,True
94,94,7,True
22,22,7,True
1,1,7,True
17,17,7,True
56,11,7,False
23,23,7,True
12,Aucun,0,False
12,Aucun,0,False
1,1,7,True
94,94,7,True
12,12,7,True
56,56,7,True
1,1,7,True
17,Aucun,0,False
17,17,7,True
23,23,7,True
17,Aucun,0,False
17,17,7,True
17,17,7,True
94,94,7,True
17,Aucun,0,False
1,1,7,True
17,Aucun,0,False
1,1,7,True
33,33,7,True
1,1,7,True
56,56,7,True
12,12,7,True
1,1,7,True
22,22,7,True
17,17,7,True
17,17,7,True
23,Aucun,0,False
94,Aucun,0,False
12,12,7,True
12,12,7,True
1,1,7,True
1,Aucun,0,False
17,Aucun,0,False
33,33,7,True
17,17,7,True
94,94,7,True
1,1,7,True
56,56,7,True
12,12,7,True
1,1,7,True
22,22,7,True
22,22,7,True
56,56,7,True
12,12,7,True
56,11,7,False
94,94,7,True
22,22,7,True
17,17,7,True
17,17,7,True
22,22,7,True
12,12,7,True
12,12,7,True
56,11,7,False
1,1,7,True
22,22,7,True
1,1,7,True
56,56,7,True
1,1,7,True
1,1,7,True
22,22,7,True
56,56,7,True
56,56,7,True
1,1,7,True
22,22,7,True
1,1,7,True
12,12,7,True
1,Aucun,0,False
22,22,7,True
1,1,7,True
17,17,7,True
56,56,7,True
17,17,7,True
17,17,7,True
17,17,7,True
94,94,7,True
94,94,7,True
17,17,7,True
17,17,7,True
1,1,7,True
17,17,7,True
17,17,7,True
94,94,7,True
94,94,7,True
17,17,7,True
17,17,7,True
17,17,7,True
17,17,7,True
1,1,7,True
12,12,7,True
22,22,7,True
56,56,7,True
94,94,7,True
12,12,7,True
1,1,7,True
56,56,7,True
17,17,7,True
1,1,7,True
1,1,7,True
56,Aucun,0,False
12,12,7,True
12,12,7,True
22,Aucun,0,False
17,17,7,True
94,94,7,True
94,94,7,True
94,94,7,True
17,Aucun,0,False
12,12,7,True
56,Aucun,0,False
33,33,7,True
1,Aucun,0,False
1,1,7,True
94,94,7,True
94,94,7,True
94,Aucun,0,False
23,23,7,True
1,1,7,True
17,17,7,True
94,Aucun,0,False
1,1,7,True
12,12,7,True
1,1,7,True
94,94,7,True
12,12,7,True
22,23,7,False
56,11,7,False
12,12,7,True
1,1,7,True
94,94,7,True
12,12,7,True
1,1,7,True
56,56,7,True
22,22,7,True
12,12,7,True
1,1,7,True
56,56,7,True
22,22,7,True
12,12,7,True
12,12,7,True
12,12,7,True
1,1,7,True
22,22,7,True
56,Aucun,0,False
1,1,7,True
22,22,7,True
1,1,7,True
22,22,7,True
56,11,7,False
12,12,7,True
56,56,7,True
22,22,7,True
12,12,7,True
12,12,7,True
12,12,7,True
22,22,7,True
12,12,7,True
12,12,7,True
12,12,7,True
1,1,7,True
56,56,7,True
94,94,7,True
17,17,7,True
1,1,7,True
56,11,7,False
1,Aucun,0,False
22,22,7,True
12,12,7,True
12,12,7,True
56,56,7,True
22,22,7,True
1,Aucun,0,False
12,12,7,True
12,12,7,True
56,56,7,True
22,22,7,True
94,94,7,True
56,56,7,True
1,1,7,True
22,22,7,True
1,1,7,True
1,1,7,True
56,Aucun,0,False
1,1,7,True
12,12,7,True
22,22,7,True
23,23,7,True
17,17,7,True
94,94,7,True
94,94,7,True
23,Aucun,0,False
17,17,7,True
22,22,7,True
1,1,7,True
12,12,7,True
17,17,7,True
17,Aucun,0,False
23,Aucun,0,False
94,94,7,True
12,12,7,True
22,22,7,True
12,12,7,True
12,12,7,True
1,1,7,True
12,12,7,True
56,56,7,True
12,12,7,True
94,94,7,True
22,22,7,True
1,1,7,True
56,56,7,True
17,Aucun,0,False
56,56,7,True
17,Aucun,0,False
23,23,7,True
1,1,7,True
22,22,7,True
94,94,7,True
22,Aucun,0,False
56,Aucun,0,False
12,12,7,True
1,1,7,True
12,12,7,True
17,Aucun,0,False
94,94,7,True
22,22,7,True
56,Aucun,0,False
12,12,7,True
17,Aucun,0,False
94,94,7,True
1,1,7,True
22,22,7,True
1,1,7,True
12,12,7,True
56,56,7,True
1,1,7,True
22,22,7,True
23,23,7,True
1,1,7,True
56,56,7,True
1,1,7,True
12,12,7,True
1,Aucun,0,False
22,22,7,True
1,1,7,True
56,56,7,True
1,1,7,True
22,22,7,True
12,12,7,True
56,56,7,True
1,1,7,True
1,1,7,True
12,12,7,True
56,56,7,True
12,12,7,True
12,12,7,True
33,33,7,True
22,22,7,True
1,1,7,True
22,22,7,True
56,11,7,False
17,17,7,True
1,Aucun,0,False
17,Aucun,0,False
12,Aucun,0,False
12,12,7,True
56,56,7,True
12,12,7,True
22,22,7,True
94,Aucun,0,False
17,Aucun,0,False
17,Aucun,0,False
17,Aucun,0,False
12,12,7,True
56,Aucun,0,False
1,Aucun,0,False
17,Aucun,0,False
17,17,7,True
12,12,7,True
1,1,7,True
1,1,7,True
56,Aucun,0,False
1,1,7,True
12,12,7,True
12,12,7,True
12,12,7,True
56,56,7,True
22,22,7,True
1,1,7,True
12,12,7,True
1,1,7,True
12,12,7,True
22,Aucun,0,False
56,Aucun,0,False
1,1,7,True
12,12,7,True
22,22,7,True
12,12,7,True
1,1,7,True
56,56,7,True
12,12,7,True
22,22,7,True
1,1,7,True
94,94,7,True
22,Aucun,0,False
56,56,7,True
22,22,7,True
1,1,7,True
94,94,7,True
56,Aucun,0,False
22,Aucun,0,False
94,94,7,True
94,94,7,True
94,94,7,True
17,17,7,True
94,94,7,True
1,1,7,True
12,12,7,True
56,Aucun,0,False
1,1,7,True
22,22,7,True
22,22,7,True
56,56,7,True
56,56,7,True
22,22,7,True
1,1,7,True
12,12,7,True
1,1,7,True
22,22,7,True
12,12,7,True
56,56,7,True
1,1,7,True
12,12,7,True
17,Aucun,0,False
1,1,7,True
1,1,7,True
94,Aucun,0,False
94,Aucun,0,False
17,17,7,True
23,Aucun,0,False
17,17,7,True
94,94,7,True
1,Aucun,0,False
56,Aucun,0,False
1,Aucun,0,False
22,22,7,True
12,12,7,True
22,22,7,True
94,94,7,True
56,56,7,True
12,12,7,True
12,12,7,True
22,22,7,True
1,1,7,True
56,11,7,False
1,1,7,True
94,94,7,True
56,11,7,False
56,11,7,False
17,17,7,True
22,22,7,True
56,56,7,True
12,12,7,True
56,Aucun,0,False
12,12,7,True
1,1,7,True
22,22,7,True
17,17,7,True
22,22,7,True
1,1,7,True
17,17,7,True
33,33,7,True
17,17,7,True
12,12,7,True
1,Aucun,0,False
12,12,7,True
56,56,7,True
12,12,7,True
22,22,7,True
56,56,7,True
12,12,7,True
1,1,7,True
12,12,7,True
17,Aucun,0,False
1,1,7,True
17,17,7,True
94,Aucun,0,False
22,22,7,True
1,1,7,True
94,94,7,True
94,94,7,True
17,17,7,True
56,56,7,True
1,1,7,True
1,1,7,True
1,1,7,True
56,56,7,True
1,1,7,True
1,1,7,True
12,Aucun,0,False
1,Aucun,0,False
12,Aucun,0,False
23,23,7,True
12,12,7,True
1,1,7,True
12,12,7,True
12,12,7,True
17,17,7,True
94,94,7,True
56,11,7,False
17,17,7,True
17,17,7,True
23,23,7,True
1,Aucun,0,False
56,56,7,True
22,22,7,True
12,12,7,True
56,11,7,False
22,23,7,False
94,94,7,True
17,17,7,True
23,23,7,True
94,94,7,True
17,17,7,True
94,94,7,True
1,1,7,True
12,12,7,True
22,Aucun,0,False
56,56,7,True
1,1,7,True
56,Aucun,0,False
22,22,7,True
12,12,7,True
1,1,7,True
22,Aucun,0,False
56,Aucun,0,False
1,Aucun,0,False
12,12,7,True
94,Aucun,0,False
12,12,7,True
12,12,7,True
22,22,7,True
12,12,7,True
56,56,7,True
12,12,7,True
1,1,7,True
12,Aucun,0,False
56,Aucun,0,False
12,Aucun,0,False
22,Aucun,0,False
1,1,7,True
12,12,7,True
22,22,7,True
12,12,7,True
56,56,7,True
1,1,7,True
1,1,7,True
1,1,7,True
1,1,7,True
56,56,7,True
22,22,7,True
1,Aucun,0,False
12,12,7,True
1,1,7,True
56,56,7,True
1,1,7,True
12,12,7,True
22,22,7,True
12,12,7,True
12,12,7,True
22,Aucun,0,False
56,Aucun,0,False
1,1,7,True
1,1,7,True
12,12,7,True
1,1,7,True
22,Aucun,0,False
94,94,7,True
1,1,7,True
56,56,7,True
