cluster_model,cluster_rules,match_score,concordance
94,Aucun,0,False
56,Aucun,0,False
94,Aucun,0,False
94,Aucun,0,False
22,Aucun,0,False
56,Aucun,0,False
1,Aucun,0,False
56,Aucun,0,False
12,Aucun,0,False
94,Aucun,0,False
17,Aucun,0,False
94,Aucun,0,False
94,Aucun,0,False
23,Aucun,0,False
11,Aucun,0,False
22,Aucun,0,False
56,Aucun,0,False
17,Aucun,0,False
17,Aucun,0,False
23,Aucun,0,False
94,Aucun,0,False
33,Aucun,0,False
56,Aucun,0,False
23,Aucun,0,False
17,Aucun,0,False
56,Aucun,0,False
56,Aucun,0,False
17,Aucun,0,False
56,Aucun,0,False
22,Aucun,0,False
1,Aucun,0,False
12,Aucun,0,False
23,Aucun,0,False
56,Aucun,0,False
17,Aucun,0,False
94,Aucun,0,False
22,Aucun,0,False
22,Aucun,0,False
12,Aucun,0,False
12,Aucun,0,False
17,Aucun,0,False
17,Aucun,0,False
17,Aucun,0,False
17,Aucun,0,False
23,Aucun,0,False
94,Aucun,0,False
1,Aucun,0,False
17,Aucun,0,False
1,Aucun,0,False
56,Aucun,0,False
22,Aucun,0,False
17,Aucun,0,False
56,Aucun,0,False
1,Aucun,0,False
94,Aucun,0,False
94,Aucun,0,False
56,Aucun,0,False
1,Aucun,0,False
1,Aucun,0,False
56,Aucun,0,False
23,Aucun,0,False
17,Aucun,0,False
23,Aucun,0,False
17,Aucun,0,False
17,Aucun,0,False
22,Aucun,0,False
56,Aucun,0,False
17,Aucun,0,False
56,Aucun,0,False
17,Aucun,0,False
1,Aucun,0,False
1,Aucun,0,False
17,Aucun,0,False
12,Aucun,0,False
94,Aucun,0,False
17,Aucun,0,False
17,Aucun,0,False
17,Aucun,0,False
56,Aucun,0,False
1,Aucun,0,False
17,Aucun,0,False
56,Aucun,0,False
22,Aucun,0,False
56,Aucun,0,False
22,Aucun,0,False
56,Aucun,0,False
22,Aucun,0,False
56,Aucun,0,False
17,Aucun,0,False
94,Aucun,0,False
94,Aucun,0,False
23,Aucun,0,False
1,Aucun,0,False
56,Aucun,0,False
1,Aucun,0,False
56,Aucun,0,False
1,Aucun,0,False
17,Aucun,0,False
94,Aucun,0,False
12,Aucun,0,False
1,Aucun,0,False
12,Aucun,0,False
1,Aucun,0,False
22,Aucun,0,False
56,Aucun,0,False
22,Aucun,0,False
56,Aucun,0,False
1,Aucun,0,False
94,Aucun,0,False
12,Aucun,0,False
56,Aucun,0,False
12,Aucun,0,False
22,Aucun,0,False
1,Aucun,0,False
22,Aucun,0,False
56,Aucun,0,False
22,Aucun,0,False
34,Aucun,0,False
34,Aucun,0,False
91,Aucun,0,False
94,Aucun,0,False
94,Aucun,0,False
94,Aucun,0,False
56,Aucun,0,False
22,Aucun,0,False
56,Aucun,0,False
94,Aucun,0,False
22,Aucun,0,False
17,Aucun,0,False
22,Aucun,0,False
56,Aucun,0,False
17,Aucun,0,False
22,Aucun,0,False
94,Aucun,0,False
22,Aucun,0,False
1,Aucun,0,False
17,Aucun,0,False
17,Aucun,0,False
1,Aucun,0,False
23,Aucun,0,False
56,Aucun,0,False
17,Aucun,0,False
94,Aucun,0,False
12,Aucun,0,False
56,Aucun,0,False
94,Aucun,0,False
12,Aucun,0,False
94,Aucun,0,False
1,Aucun,0,False
12,Aucun,0,False
22,Aucun,0,False
94,Aucun,0,False
