Cluster_Assigné,ethnie_top,ethnie_prop_top,educ_scol_top,educ_scol_prop_top,educ_hi_top,educ_hi_prop_top,diplome_top,diplome_prop_top,branch_top,branch_prop_top,sectins_top,sectins_prop_top,csp_top,csp_prop_top,age_grp_top,age_grp_prop_top,logem_top,logem_prop_top,resid,couvmal,telpor,internet,a_assurance,alphabete,elec_ac,elec_ur,elec_ua,tv,fer,frigo,cuisin,ordin,decod,car,volhor_mean,salaire_mean
0,BAOULE,0.8611111111111112,Primaire,0.46296296296296297,Primaire,0.5462962962962963,Aucun,0.8888888888888888,Non connu,0.8888888888888888,Non connu,0.8888888888888888,Non connu,0.8888888888888888,0-17,0.9228395061728395,Proprietaire sans titre,0.48148148148148145,0.9814814814814815,0.030864197530864196,0.08024691358024691,0.012345679012345678,0.030864197530864196,0.5277777777777778,0.654320987654321,0.6790123456790124,0.10493827160493827,0.28703703703703703,0.012345679012345678,0.06790123456790123,0.009259259259259259,0.006172839506172839,0.1697530864197531,0.0,17.925925925925927,925.925925925926
1,Inconnue,0.17566137566137566,Aucun,0.41164021164021164,Primaire,0.3798941798941799,Aucun,0.7026455026455026,Non connu,0.9238095238095239,Non connu,0.9238095238095239,Non connu,0.9238095238095239,0-17,0.8158730158730159,Locataire,0.7238095238095238,0.9968253968253968,0.14179894179894179,0.18518518518518517,0.17671957671957672,0.14179894179894179,0.6888888888888889,0.9354497354497354,0.9386243386243386,0.05925925925925926,0.8476190476190476,0.13333333333333333,0.4708994708994709,0.21164021164021163,0.12698412698412698,0.4888888888888889,0.0962962962962963,152.04496634920633,40639.18692063492
2,BAOULE,0.3850415512465374,Aucun,0.9944598337950139,Aucun,0.3878116343490305,Aucun,0.6592797783933518,Agriculture,0.778393351800554,Entreprise Privée,0.961218836565097,Travailleur pour compte propre,0.7146814404432132,35-44,0.3988919667590028,Proprietaire sans titre,0.45429362880886426,1.0,0.055401662049861494,0.9806094182825484,0.27146814404432135,0.055401662049861494,0.6426592797783933,0.4404432132963989,0.5318559556786704,0.31301939058171746,0.3656509695290859,0.019390581717451522,0.060941828254847646,0.0221606648199446,0.013850415512465374,0.20221606648199447,0.00554016620498615,1881.154614570637,334126.91540166206
3,SENOUFO,0.16563146997929606,Aucun,0.9910282953761215,Aucun,0.5824706694271912,Aucun,0.7694962042788129,Commerce,0.35196687370600416,Entreprise Privée,0.6701173222912353,Travailleur pour compte propre,0.48999309868875085,35-44,0.3498964803312629,Locataire,0.3940648723257419,0.9986197377501725,0.0945479641131815,0.9475500345065563,0.4030365769496204,0.0945479641131815,0.4720496894409938,0.7950310559006211,0.8640441683919945,0.11594202898550725,0.7474120082815735,0.0800552104899931,0.2636300897170462,0.08074534161490683,0.047619047619047616,0.44306418219461696,0.03036576949620428,1109.7817140027605,155094.74648723257
4,Inconnue,0.22939068100358423,Aucun,0.5017921146953405,Aucun,0.4265232974910394,Aucun,0.8028673835125448,Non connu,0.931899641577061,Non connu,0.931899641577061,Non connu,0.931899641577061,0-17,0.946236559139785,Proprietaire titre,0.4014336917562724,0.992831541218638,0.025089605734767026,0.08243727598566308,0.025089605734767026,0.025089605734767026,0.5125448028673835,0.6129032258064516,0.7132616487455197,0.23297491039426524,0.6415770609318996,0.035842293906810034,0.17204301075268819,0.017921146953405017,0.017921146953405017,0.24014336917562723,0.0,35.053763440860216,2365.5913978494623
5,Inconnue,0.3886255924170616,Aucun,0.5450236966824644,Aucun,0.43601895734597157,Aucun,0.8909952606635071,Non connu,0.9146919431279621,Non connu,0.9146919431279621,Non connu,0.9146919431279621,0-17,0.9146919431279621,Proprietaire sans titre,0.35545023696682465,0.985781990521327,0.061611374407582936,0.09004739336492891,0.04739336492890995,0.061611374407582936,0.46919431279620855,0.5450236966824644,0.46445497630331756,0.41706161137440756,0.44549763033175355,0.04739336492890995,0.11374407582938388,0.02843601895734597,0.014218009478672985,0.25118483412322273,0.0,134.69742300947868,25238.338909952607
6,Inconnue,0.28929690998656515,Aucun,0.9964173757277206,Aucun,0.8504254366323332,Aucun,0.9511867442901926,Agriculture,0.6506941334527542,Entreprise Privée,0.742498880429915,Travailleur Familial contribuant pour une entreprise familial,0.45588893864755936,25-34,0.6332288401253918,Proprietaire sans titre,0.528437080161218,0.999552171965965,0.00806090461262875,0.4536497984773847,0.0380653828929691,0.00806090461262875,0.15987460815047022,0.3367666815942678,0.41961486789072994,0.41513658755038063,0.2843708016121809,0.0022391401701746527,0.03493058665472459,0.0013434841021047917,0.0017913121361397223,0.14733542319749215,0.003134796238244514,345.4070756829378,19333.47776533811
7,BAOULE,0.2996706915477497,Aucun,1.0,Aucun,0.9308452250274424,Aucun,0.9857299670691547,Non connu,0.5686059275521405,Non connu,0.5686059275521405,Non connu,0.5686059275521405,65+,0.5960482985729967,Proprietaire sans titre,0.535675082327113,0.986827661909989,0.006586169045005488,0.3907793633369923,0.003293084522502744,0.006586169045005488,0.07683863885839737,0.47859495060373214,0.5686059275521405,0.21405049396267836,0.21185510428100987,0.006586169045005488,0.0570801317233809,0.006586169045005488,0.005488474204171241,0.10647639956092206,0.0021953896816684962,531.2064086717893,3267.4812074643246
8,Inconnue,0.2259825327510917,Aucun,1.0,Aucun,0.7106986899563319,Aucun,0.8842794759825328,Agriculture,0.8733624454148472,Entreprise Privée,0.9410480349344978,Travailleur pour compte propre,0.8668122270742358,45-54,0.509825327510917,Proprietaire sans titre,0.5589519650655022,0.9978165938864629,0.004366812227074236,0.769650655021834,0.0425764192139738,0.004366812227074236,0.3351528384279476,0.33624454148471616,0.4104803493449782,0.3318777292576419,0.18668122270742357,0.0054585152838427945,0.03165938864628821,0.001091703056768559,0.0,0.10152838427947598,0.002183406113537118,1747.2166806113537,47994.523231441046
9,Inconnue,0.195852534562212,Aucun,0.9976958525345622,Aucun,0.5288018433179723,Aucun,0.716589861751152,Agriculture,0.2903225806451613,Entreprise Privée,0.9193548387096774,Travailleur pour compte propre,0.5576036866359447,35-44,0.5241935483870968,Locataire,0.3778801843317972,1.0,0.07258064516129033,0.9919354838709677,0.597926267281106,0.07258064516129033,0.6221198156682027,0.6762672811059908,0.8052995391705069,0.1543778801843318,0.6578341013824884,0.04723502304147465,0.14861751152073732,0.03456221198156682,0.038018433179723504,0.3629032258064516,0.018433179723502304,1996.7206887096775,638938.0948156682
