cluster,age_num,sex,marital_status,city,milieu_resid,region_name,bancarise,age_group,predicted_cluster
17,29,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,17
12,17,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,15-24,12
1,15,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,15-24,1
12,12,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
22,34,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,25-34,22
56,50,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,56
1,3,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
12,1,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
56,56,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,55-64,11
22,38,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,35-44,22
94,38,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,1
56,55,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,55-64,1
12,14,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
22,39,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,22
56,43,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,56
1,9,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
1,12,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
94,42,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,1
12,2,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
22,37,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,35-44,22
56,54,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,56
1,12,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
12,7,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
94,37,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,1
12,9,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
17,18,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
22,45,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,22
12,13,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
56,63,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,55-64,11
94,30,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,94
56,45,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,56
22,29,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,22
1,9,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
17,16,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
94,22,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,1
12,13,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
17,21,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
12,3,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
22,50,Féminin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,22
1,9,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
56,47,Masculin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,56
12,1,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
