cluster,rules
17,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'city': ['ABIDJAN']}, {'milieu_resid': ['Urbain']}, {'region_name': [""AUTONOME D'ABIDJAN""]}, {'bancarise': [1]}]"
12,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'city': ['ABIDJAN']}, {'milieu_resid': ['Urbain']}, {'region_name': [""AUTONOME D'ABIDJAN""]}, {'bancarise': [0]}]"
1,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'city': ['ABIDJAN']}, {'milieu_resid': ['Urbain']}, {'region_name': [""AUTONOME D'ABIDJAN""]}, {'bancarise': [0]}]"
22,"[{'sex': ['Féminin']}, {'marital_status': ['Marié(e)']}, {'city': ['ABIDJAN']}, {'milieu_resid': ['Urbain']}, {'region_name': [""AUTONOME D'ABIDJAN""]}]"
56,"[{'sex': ['Masculin']}, {'marital_status': ['Marié(e)']}, {'city': ['ABIDJAN']}, {'milieu_resid': ['Urbain']}, {'region_name': [""AUTONOME D'ABIDJAN""]}, {'bancarise': [1]}]"
94,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'city': ['ABIDJAN']}, {'milieu_resid': ['Urbain']}, {'region_name': [""AUTONOME D'ABIDJAN""]}, {'bancarise': [1]}]"
23,"[{'sex': ['Féminin']}, {'milieu_resid': ['Urbain']}, {'bancarise': [1]}]"
11,"[{'sex': ['Masculin']}, {'marital_status': ['Marié(e)']}, {'milieu_resid': ['Urbain']}, {'bancarise': [1]}]"
33,"[{'sex': ['Féminin']}, {'marital_status': ['Veuf(ve)']}, {'milieu_resid': ['Urbain']}, {'bancarise': [0]}]"
34,"[{'sex': ['Féminin']}, {'marital_status': ['Marié(e)']}, {'milieu_resid': ['Urbain']}, {'bancarise': [0]}]"
91,"[{'sex': ['Masculin']}, {'marital_status': ['Marié(e)']}, {'milieu_resid': ['Rural']}, {'bancarise': [0]}]"
3,"[{'sex': ['Féminin']}, {'marital_status': ['Marié(e)']}, {'milieu_resid': ['Urbain']}, {'bancarise': [1]}]"
9,"[{'sex': ['Masculin']}, {'marital_status': ['Marié(e)']}, {'milieu_resid': ['Urbain']}, {'bancarise': [1]}]"
60,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Urbain']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
55,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Urbain']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
92,"[{'sex': ['Féminin']}, {'marital_status': ['Marié(e)']}, {'milieu_resid': ['Urbain']}, {'bancarise': [0]}]"
53,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Urbain']}, {'bancarise': [0]}]"
81,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Urbain']}, {'bancarise': [0]}]"
8,"[{'sex': ['Masculin']}, {'milieu_resid': ['Rural']}, {'bancarise': [0]}]"
10,"[{'sex': ['Féminin']}, {'milieu_resid': ['Rural']}, {'bancarise': [1]}]"
71,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
88,"[{'sex': ['Féminin']}, {'marital_status': ['Marié(e)']}, {'milieu_resid': ['Rural']}, {'bancarise': [0]}]"
7,"[{'sex': ['Féminin']}, {'marital_status': ['Veuf(ve)']}, {'milieu_resid': ['Rural']}, {'bancarise': [0]}]"
31,"[{'sex': ['Masculin']}, {'marital_status': ['Marié(e)']}, {'milieu_resid': ['Rural']}, {'bancarise': [0]}]"
13,"[{'sex': ['Masculin']}, {'marital_status': ['Marié(e)']}, {'milieu_resid': ['Rural']}, {'bancarise': [1]}]"
80,"[{'sex': ['Féminin']}, {'milieu_resid': ['Rural']}, {'bancarise': [0]}]"
77,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'bancarise': [0]}]"
52,"[{'sex': ['Masculin']}, {'marital_status': ['Marié(e)']}, {'milieu_resid': ['Rural']}, {'bancarise': [1]}]"
21,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'bancarise': [1]}]"
24,"[{'sex': ['Féminin']}, {'marital_status': ['Marié(e)']}, {'milieu_resid': ['Rural']}, {'bancarise': [0]}]"
85,"[{'sex': ['Masculin']}, {'marital_status': ['Marié(e)']}, {'milieu_resid': ['Rural']}, {'bancarise': [1]}]"
15,"[{'sex': ['Féminin']}, {'marital_status': ['Marié(e)']}, {'milieu_resid': ['Rural']}, {'bancarise': [1]}]"
2,"[{'sex': ['Masculin']}, {'marital_status': ['Union libre']}, {'milieu_resid': ['Rural']}, {'bancarise': [1]}]"
59,"[{'sex': ['Féminin']}, {'milieu_resid': ['Rural']}, {'bancarise': [1]}]"
