cluster,age_num,sex,marital_status,city,milieu_resid,region_name,bancarise,Cluster_Assigné
17,29,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,17,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
1,15,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
12,12,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,34,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,80
56,50,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
1,3,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
12,1,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,56,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
22,38,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,80
94,38,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
56,55,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
12,14,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,39,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
56,43,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,9,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
1,12,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
94,42,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,2,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,37,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,80
